Id,name,attack_down_anim,attack_right_anim,attack_rightdown_anim,attack_rightup_anim,attack_up_anim,die_right_anim,die_rightdown_anim,die_rightup_anim,idle_rightdown_anim,idle_rightup_anim,victory_down_anim,walk_down_anim,walk_right_anim,walk_rightdown_anim,walk_rightup_anim,walk_up_anim,空行
1,Archer1_plist,Archer1_attack_down,Archer1_attack_right,Archer1_attack_rightdown,Archer1_attack_rightup,Archer1_attack_up,Archer1_die_right,Archer1_die_rightdown,Archer1_die_rightup,Archer1_idle_rightdown,Archer1_idle_rightup,Archer1_victory_down,Archer1_walk_down,Archer1_walk_right,Archer1_walk_rightdown,Archer1_walk_rightup,Archer1_walk_up, 
2,Archer2A_plist,Archer2A_attack_down,Archer2A_attack_right,Archer2A_attack_rightdown,Archer2A_attack_rightup,Archer2A_attack_up,Archer2A_die_right,Archer2A_die_rightdown,Archer2A_die_rightup,Archer2A_idle_rightdown,Archer2A_idle_rightup,Archer2A_victory_down,Archer2A_walk_down,Archer2A_walk_right,Archer2A_walk_rightdown,Archer2A_walk_rightup,Archer2A_walk_up, 
3,Archer2B_plist,Archer2B_attack_down,Archer2B_attack_right,Archer2B_attack_rightdown,Archer2B_attack_rightup,Archer2B_attack_up,Archer2B_die_right,Archer2B_die_rightdown,Archer2B_die_rightup,Archer2B_idle_rightdown,Archer2B_idle_rightup,Archer2B_victory_down,Archer2B_walk_down,Archer2B_walk_right,Archer2B_walk_rightdown,Archer2B_walk_rightup,Archer2B_walk_up, 
4,Archer4_plist,Archer4_attack_down,Archer4_attack_right,Archer4_attack_rightdown,Archer4_attack_rightup,Archer4_attack_up,Archer4_die_right,Archer4_die_rightdown,Archer4_die_rightup,Archer4_idle_rightdown,Archer4_idle_rightup,Archer4_victory_down,Archer4_walk_down,Archer4_walk_right,Archer4_walk_rightdown,Archer4_walk_rightup,Archer4_walk_up, 
5,Archer5_plist,Archer5_attack_down,Archer5_attack_right,Archer5_attack_rightdown,Archer5_attack_rightup,Archer5_attack_up,Archer5_die_right,Archer5_die_rightdown,Archer5_die_rightup,Archer5_idle_rightdown,Archer5_idle_rightup,Archer5_victory_down,Archer5_walk_down,Archer5_walk_right,Archer5_walk_rightdown,Archer5_walk_rightup,Archer5_walk_up, 
6,Cavalry1_plist,Cavalry1_attack_down,Cavalry1_attack_right,Cavalry1_attack_rightdown,Cavalry1_attack_rightup,Cavalry1_attack_up,Cavalry1_die_right,Cavalry1_die_rightdown,Cavalry1_die_rightup,Cavalry1_idle_rightdown,Cavalry1_idle_rightup,Cavalry1_victory_down,Cavalry1_walk_down,Cavalry1_walk_right,Cavalry1_walk_rightdown,Cavalry1_walk_rightup,Cavalry1_walk_up, 
7,Cavalry2A_plist,Cavalry2A_attack_down,Cavalry2A_attack_right,Cavalry2A_attack_rightdown,Cavalry2A_attack_rightup,Cavalry2A_attack_up,Cavalry2A_die_right,Cavalry2A_die_rightdown,Cavalry2A_die_rightup,Cavalry2A_idle_rightdown,Cavalry2A_idle_rightup,Cavalry2A_victory_down,Cavalry2A_walk_down,Cavalry2A_walk_right,Cavalry2A_walk_rightdown,Cavalry2A_walk_rightup,Cavalry2A_walk_up, 
8,Cavalry2B_plist,Cavalry2B_attack_down,Cavalry2B_attack_right,Cavalry2B_attack_rightdown,Cavalry2B_attack_rightup,Cavalry2B_attack_up,Cavalry2B_die_right,Cavalry2B_die_rightdown,Cavalry2B_die_rightup,Cavalry2B_idle_rightdown,Cavalry2B_idle_rightup,Cavalry2B_victory_down,Cavalry2B_walk_down,Cavalry2B_walk_right,Cavalry2B_walk_rightdown,Cavalry2B_walk_rightup,Cavalry2B_walk_up, 
9,Cavalry4_plist,Cavalry4_attack_down,Cavalry4_attack_right,Cavalry4_attack_rightdown,Cavalry4_attack_rightup,Cavalry4_attack_up,Cavalry4_die_right,Cavalry4_die_rightdown,Cavalry4_die_rightup,Cavalry4_idle_rightdown,Cavalry4_idle_rightup,Cavalry4_victory_down,Cavalry4_walk_down,Cavalry4_walk_right,Cavalry4_walk_rightdown,Cavalry4_walk_rightup,Cavalry4_walk_up, 
10,Cavalry5_plist,Cavalry5_attack_down,Cavalry5_attack_right,Cavalry5_attack_rightdown,Cavalry5_attack_rightup,Cavalry5_attack_up,Cavalry5_die_right,Cavalry5_die_rightdown,Cavalry5_die_rightup,Cavalry5_idle_rightdown,Cavalry5_idle_rightup,Cavalry5_victory_down,Cavalry5_walk_down,Cavalry5_walk_right,Cavalry5_walk_rightdown,Cavalry5_walk_rightup,Cavalry5_walk_up, 
11,Infantry1_plist,Infantry1_attack_down,Infantry1_attack_right,Infantry1_attack_rightdown,Infantry1_attack_rightup,Infantry1_attack_up,Infantry1_die_right,Infantry1_die_rightdown,Infantry1_die_rightup,Infantry1_idle_rightdown,Infantry1_idle_rightup,Infantry1_victory_down,Infantry1_walk_down,Infantry1_walk_right,Infantry1_walk_rightdown,Infantry1_walk_rightup,Infantry1_walk_up, 
12,Infantry2A_plist,Infantry2A_attack_down,Infantry2A_attack_right,Infantry2A_attack_rightdown,Infantry2A_attack_rightup,Infantry2A_attack_up,Infantry2A_die_right,Infantry2A_die_rightdown,Infantry2A_die_rightup,Infantry2A_idle_rightdown,Infantry2A_idle_rightup,Infantry2A_victory_down,Infantry2A_walk_down,Infantry2A_walk_right,Infantry2A_walk_rightdown,Infantry2A_walk_rightup,Infantry2A_walk_up, 
