索引	非法字符
1	2c8
2	2c팔
3	ac발
4	anal
5	ass
6	asshole
7	bbagoori
8	bbagury
9	bitch
10	bogy
11	Boji
12	Bojy
13	bozi
14	bozy
15	bo지
16	bug
17	bunsec
18	bunsek
19	byuntae
20	c8
21	cash
22	ccibal
23	ce발
24	cibal
25	comesek
26	comsek
27	condom
28	c발
29	c팔
30	dildo
31	ecstasy
32	ero
33	FUCK
34	fuckup
35	anal
36	hentai
37	jaji
38	jamji
39	jasal
40	jawe
41	jawi
42	jazi
43	jazy
44	ja위
45	ja지
46	jiral
47	ji랄
48	jot
49	lesbien
50	Masturbation
51	molca
52	nigimi
53	nomo
54	nude
55	oral
56	penis
57	pennis
58	PLAYNERY
59	ponsec
60	ponsek
61	porno
62	prno
63	sex
64	sibal
65	sipal
66	sival
67	ssibal
68	ssipal
69	ssival
70	suck
71	suicide
72	zasal
73	zazi
74	zot
75	ㄱH뇬
76	갈보
77	강간
78	개꼬치
79	개년
80	개놈
81	개눔
82	개때꺄
83	개때끼
84	개또라이
85	개바라
86	개보지
87	개부랄
88	개부럴
89	개불알
90	개뼉다구
91	개뼉따구
92	개새꺄
93	개새끼
94	개새리
95	개새이
96	개색
97	개샛킹
98	개샠
99	개섹
100	개쇄끼
101	개쉐이
102	개쉑히
103	개쉽
104	개시키
105	개쌍년
106	개쌍놈
107	개쌔꺄
108	개쌔끼
109	개쌕끼
110	개썅년
111	개쒹기
112	개씨발
113	개씹창
114	개아이
115	개염창
116	개자슥
117	개자식
118	개자지
119	개젓
120	개젖
121	개졋
122	개졎
123	개조또
124	개좆
125	개지랄
126	개찌질이
127	개후랄
128	개후레
129	개후장
130	거시기
131	거지새끼
132	거지쉐뀌
133	거지쎄끼
134	거지쒜리
135	걸래
136	걸레
137	겁탈
138	게년
139	게뇬
140	게눔
141	게새끼
142	게새리
143	게색
144	게색기
145	게색끼
146	게세끼
147	게섹
148	게섹놈아
149	게쉐
150	게시끼
151	게시퀴
152	게쌔기
153	게쌕끼
154	계약애인
155	계약앤
156	고추
157	골통
158	교환부부
159	귀두
160	그룹섹
161	그지새끼
162	그지새키
163	그지좃밥
164	그지좃빱
165	그지좆밥
166	근친상간
167	깝쳐
168	깝치네
169	깝친다
170	깝칠래
171	꼬추
172	꼴깝
173	꼴려
174	꼴리는
175	꼴리다
176	꼴통
177	꽁까
178	꽃뱀
179	난교
180	넴병
181	노브라
182	노팬츠
183	노팬티
184	누드
185	눈깔
186	뉘미
187	뉘잉기미
188	늬귀미
189	늬믜창
190	늬미
191	니귀미
192	니기미
193	니믜
194	니미랄
195	니미럴
196	니미롤
197	니미룰
198	니미를
199	니애미
200	니앰
201	니에미
202	니엠
203	니이미
204	니좆
205	니죠때
206	니죶데
207	니주가리
208	닝기미
209	대가리
210	돌림빵
211	되가리
212	되질래
213	뒈져라
214	뒈진다
215	뒈질래
216	드응신
217	등신
218	디랄
219	디럴
220	디져라
221	디진다
222	디질래
223	딜도
224	따굴
225	따먹기
226	따먹는
227	따먹어
228	따무라
229	따묵기
230	딸따뤼
231	딸따리
232	딸딸이
233	딸치는
234	때꺄
235	떠라이
236	떡치기
237	떵싸구
238	또라이
239	똘봉년
240	똥고
241	똥구멍
242	똥꼬
243	똥꾸녕
244	똥꾸멍
245	똥닦다
246	똥대가리
247	똥물
248	똥싸
249	똥쳐먹다
250	뜁새
251	띠바
252	띠박
253	띠이바
254	띠이밸
255	띱새
256	레즈
257	ㅁl친
258	마약
259	매춘
260	몰카
261	몸파는
262	몸파라
263	뭬친놈
264	뮈친
265	믜친
266	미륀놈
267	미찬놈
268	미칀
269	미친
270	밑구녕
271	밑창
272	바구리
273	박을년
274	발기
275	뱅쉰
276	뱅싄
277	뱅신
278	버짓물
279	벼엉신
280	변남
281	변녀
282	변섹
283	변태
284	변테
285	변퇘
286	변퇴
287	변퉤
288	변틔
289	변티
290	병쉰
291	병신
292	병싡
293	병씮
294	보G
295	보z
296	보쥐
297	보짓
298	봉알
299	뵤지
300	뵨태
301	뵹싄
302	뵹신
303	부랄
304	불륜
305	불법거래
306	불알
307	붕신
308	붕알
309	붱신
310	뷩신
311	뷰웅신
312	븅싄
313	븽신
314	비잉신
315	빠구리
316	빠굴이
317	빠꾸리
318	빠돌이
319	빠라조
320	빠라줘
321	빠르너
322	빠수니
323	빠순이
324	빠큐
325	빡유
326	빡촌
327	빡큐
328	빤스
329	빤쮸
330	빨기
331	빨께
332	빨라줘
333	빨아줘
334	빨어
335	빨통
336	빽보지
337	빽자지
338	뻐르노
339	뻐큐
340	뻑유
341	뻑큐
342	뽀르노
343	뽀지
344	뽀큐
345	뽁큐
346	뽈노
347	뽈로노
348	뽕알
349	사갈탱이
350	사까시
351	사까치
352	사창가
353	삽입
354	삿깟시
355	상년
356	상노무
357	새끼
358	새끠
359	색걸
360	색골
361	색광
362	색기
363	색꺄
364	색남
365	색녀
366	색마
367	색히
368	생양아치
369	샹년
370	샹놈
371	샹늠
372	성감대
373	성겨육
374	성경험
375	성관계
376	성교
377	성교육
378	성교제
379	성기
380	성기구
381	성상담
382	성생활
383	성섹스
384	성욕구
385	성인공간
386	성인대화
387	성인만화
388	성인물
389	성인방
390	성인방송
391	성인사진
392	성인소설
393	성인야동
394	성인야사
395	성인야캠
396	성인엽기
397	성인영화
398	성인영화관
399	성인용
400	성인용품
401	성인유머
402	성인잡지
403	성인전용
404	성인카페
405	성인포탈
406	성체위
407	성체험
408	성추행
409	성충동
410	성클리닉
411	성태크닉
412	성테크닉
413	성폭행
414	성행위
415	세꺄
416	세끠
417	세액스
418	세엑스
419	세키
420	섹걸
421	섹골
422	섹남
423	섹녀
424	섹보지
425	섹스
426	섹파트너
427	섹하자
428	섹하장
429	섹할
430	섹해
431	섹히
432	쇄끼
433	쇅끼
434	쇅수
435	수간
436	수음
437	쉐끼
438	쉐리
439	쉐이
440	쉐키
441	쉑히
442	쉣더뻑
443	쉬바
444	쉬밸
445	쉬부
446	쉬빠
447	쉬빡
448	쉬이바
449	쉬이밸
450	쉬이빡
451	쉬팍
452	쉬팔
453	쉭셰리
454	쉽생구리
455	스너프
456	스발
457	스와핑
458	스트립쑈
459	스팔
460	슴가
461	싀발
462	싀방
463	싀봉
464	싀팔
465	시댕
466	시뎅
467	시바
468	시발
469	시발넘
470	시발년
471	시발놈
472	시방새
473	시방세
474	시방쉐
475	시벨넘
476	시벨새키
477	시부랄
478	시부럴
479	시부리
480	시브랄
481	시빨
482	시빨년
483	시이방
484	시이밸
485	시이빡
486	시팍
487	시팔
488	십8
489	십녀
490	십때꺄
491	십때끼
492	십떼끼
493	십물
494	십새
495	십새꺄
496	십새끼
497	십새키
498	십색꺄
499	십색끼
500	십색히
501	십세끼
502	십쇡기
503	십쉐
504	십쉐리
505	십쉐이
506	십쉑
507	십쉑히
508	십시끼
509	십쌔
510	십쌔꺄
511	십쌔끼
512	십쌔키
513	십쎄끼
514	십씨키
515	십좌지
516	십창
517	십팔
518	십할
519	싶알
520	ㅆ1발
521	ㅆ1팔
522	ㅆI발
523	ㅆl발
524	ㅆl팔
525	싸가지
526	싹수
527	싹아지
528	쌈치기
529	쌉년
530	쌍넘
531	쌍놈
532	쌍놈아
533	쌍뇬
534	쌔꺄
535	쌔리
536	쌕걸
537	쌩쇼
538	쌩쑈
539	쌩아다
540	썅넌
541	썅넘
542	썅년
543	썅놈
544	썅뇬
545	썌꺄
546	써벌
547	썩을년
548	쎄꺄
549	쎄끈
550	쎄끼
551	쎄엑
552	쎄엑스
553	쒸바
554	쒸밸
555	쒸빡
556	쒸이
557	쒸이바
558	쒸이밸
559	쒸이부
560	쒸이빡
561	쓉쎄끼
562	쓋파라
563	쓰바
564	쓰발
565	쓰방
566	쓰밸
567	쓰빡
568	쓰으방
569	쓰으벌
570	쓰이바
571	쓰이발
572	쓰이방
573	쓰이밸
574	쓰이벌
575	쓰이부
576	쓰이불
577	쓰이붕
578	쓰이빡
579	쓰이팔
580	쓰이펄
581	쓰이풀
582	쓰팍
583	쓰팔
584	쓰펄
585	쓰풀
586	씁새끼
587	씁알
588	씌발
589	씌방
590	씌벌
591	씌팔
592	씝년
593	씝알
594	씝알놈
595	씝탱
596	씝할
597	씨8
598	씨꽈랄
599	씨댕
600	씨뎅
601	씨바라
602	씨박새끼
603	씨발
604	씨발넘
605	씨발년
606	씨발놈
607	씨발놈아
