ID	类型	数量	概率	名字	空行																	
22	2	1	80	쌍고검																		
27	2	1	80	용린도																		
32	2	1	80	황금극																		
94	2	1	80	은린갑옷																		
99	2	1	80	용린투구																		
104	2	1	80	창월목걸이																		
23	2	1	100	쌍고검+1																		
28	2	1	100	용린도+1																		
33	2	1	100	황금극+1																		
95	2	1	100	은린갑옷+1																		
100	2	1	100	용린투구+1																		
105	2	1	100	창월목걸이+1																		
24	2	1	120	쌍고검+2																		
29	2	1	120	용린도+2																		
34	2	1	120	황금극+2																		
96	2	1	120	은린갑옷+2																		
101	2	1	120	용린투구+2																		
106	2	1	120	창월목걸이+2																		
25	2	1	150	쌍고검+3																		
30	2	1	150	용린도+3																		
35	2	1	150	황금극+3																		
97	2	1	150	은린갑옷+3																		
102	2	1	150	용린투구+3																		
107	2	1	150	창월목걸이+3																		
26	2	1	130	쌍고검+4																		
31	2	1	130	용린도+4																		
36	2	1	130	황금극+4																		
98	2	1	130	은린갑옷+4																		
103	2	1	130	용린투구+4																		
108	2	1	130	창월목걸이+4																		
37	2	1	120	정•쌍고검																		
43	2	1	120	정•용린도																		
49	2	1	120	정•황금극																		
109	2	1	120	정•은린갑옷																		
115	2	1	120	정•용린투구																		
121	2	1	120	정•창월목걸이																		
38	2	1	90	정•쌍고검+1																		
44	2	1	90	정•용린도+1																		
50	2	1	90	정•황금극+1																		
110	2	1	90	정•은린갑옷+1																		
116	2	1	90	정•용린투구+1																		
122	2	1	90	정•창월목걸이+1																		
39	2	1	70	정•쌍고검+2																		
45	2	1	70	정•용린도+2																		
51	2	1	70	정•황금극+2																		
111	2	1	70	정•은린갑옷+2																		
117	2	1	70	정•용린투구+2																		
123	2	1	70	정•창월목걸이+2																		
40	2	1	50	정•쌍고검+3																		
46	2	1	50	정•용린도+3																		
52	2	1	50	정•황금극+3																		
112	2	1	50	정•은린갑옷+3																		
118	2	1	50	정•용린투구+3																		
124	2	1	50	정•창월목걸이+3																		
41	2	1	30	정•쌍고검+4																		
47	2	1	30	정•용린도+4																		
53	2	1	30	정•황금극+4																		
113	2	1	30	정•은린갑옷+4																		
119	2	1	30	정•용린투구+4																		
125	2	1	30	정•창월목걸이+4																		
42	2	1	20	정•쌍고검+5																		
48	2	1	20	정•용린도+5																		
54	2	1	20	정•황금극+5																		
114	2	1	20	정•은린갑옷+5																		
120	2	1	20	정•용린투구+5																		
126	2	1	20	정•창월목걸이+5																		
55	2	1	16	의천검																		
61	2	1	16	고정도																		
67	2	1	16	월아극																		
127	2	1	16	현무갑옷																		
133	2	1	16	주작투구																		
139	2	1	16	기린목걸이																		
56	2	1	10	의천검+1																		
62	2	1	10	고정도+1																		
68	2	1	10	월아극+1																		
128	2	1	10	현무갑옷+1																		
134	2	1	10	주작투구+1																		
140	2	1	10	기린목걸이+1																		
57	2	1	5	의천검+2																		
63	2	1	5	고정도+2																		
69	2	1	5	월아극+2																		
129	2	1	5	현무갑옷+2																		
135	2	1	5	주작투구+2																		
141	2	1	5	기린목걸이+2																		
58	2	1	4	의천검+3																		
64	2	1	4	고정도+3																		
70	2	1	4	월아극+3																		
130	2	1	4	현무갑옷+3																		
136	2	1	4	주작투구+3																		
142	2	1	4	기린목걸이+3																		
59	2	1	3	의천검+4																		
65	2	1	3	고정도+4																		
71	2	1	3	월아극+4																		
131	2	1	3	현무갑옷+4																		
137	2	1	3	주작투구+4																		
143	2	1	3	기린목걸이+4																		
60	2	1	2	의천검+5																		
66	2	1	2	고정도+5																		
72	2	1	2	월아극+5																		
132	2	1	2	현무갑옷+5																		
138	2	1	2	주작투구+5																		
144	2	1	2	기린목걸이+5																		
