id	名称	竞标底价	开始竞标时间	竞标持续时间	战斗准备持续时间	战斗持续时间	每日奖励	空列														
1	천수	100000	{7,13,0,0}	201600	86400	3600	{{-3,4,2000000},{48,4,5},{49,4,5},{51,4,5}}															
2	성도	150000	{4,13,0,0}	201600	86400	3600	{{-3,4,3000000},{-2,4,100},{51,4,7}}															
3	한중	100000	{5,13,0,0}	201600	86400	3600	{{-3,4,2000000},{50,4,1},{51,4,5}}															
4	건녕	50000	{6,13,0,0}	201600	86400	3600	{{-3,4,1000000},{-6,4,3000},{51,4,3}}															
5	영안	50000	{2,13,0,0}	201600	86400	3600	{{-3,4,1000000},{47,4,5},{48,4,5},{51,4,3}}															
6	장안	200000	{4,13,0,0}	201600	86400	3600	{{-3,4,5000000},{-2,4,200},{51,4,10}}															
7	남피	50000	{1,13,0,0}	201600	86400	3600	{{-3,4,1000000},{-2,4,100},{51,4,3}}															
8	강하	50000	{5,13,0,0}	201600	86400	3600	{{-3,4,1000000},{43,4,50},{51,4,3}}															
9	허창	150000	{3,13,0,0}	201600	86400	3600	{{-3,4,3000000},{48,4,5},{49,4,5},{51,4,7}}															
10	건안	100000	{6,13,0,0}	201600	86400	3600	{{-3,4,2000000},{-2,4,100},{51,4,5}}															
11	건업	150000	{3,13,0,0}	201600	86400	3600	{{-3,4,3000000},{-6,4,3000},{51,4,7}}															
12	하비	50000	{7,13,0,0}	201600	86400	3600	{{-3,4,1000000},{38,4,2},{51,4,3}}															
