ID	类型	数量	概率	名字	空行																	
10	2	1	100	정•철검																		
14	2	1	100	정•철도																		
18	2	1	100	정•철극																		
82	2	1	100	정•경피갑																		
86	2	1	100	정•철투구																		
90	2	1	100	정•진주목걸이																		
11	2	1	150	정•철검+1																		
15	2	1	150	정•철도+1																		
19	2	1	150	정•철극+1																		
83	2	1	150	정•경피갑+1																		
87	2	1	150	정•철투구+1																		
91	2	1	150	정•진주목걸이+1																		
12	2	1	200	정•철검+2																		
16	2	1	200	정•철도+2																		
20	2	1	200	정•철극+2																		
84	2	1	200	정•경피갑+2																		
88	2	1	200	정•철투구+2																		
92	2	1	200	정•진주목걸이+2																		
13	2	1	150	정•철검+3																		
17	2	1	150	정•철도+3																		
21	2	1	150	정•철극+3																		
85	2	1	150	정•경피갑+3																		
89	2	1	150	정•철투구+3																		
93	2	1	150	정•진주목걸이+3																		
22	2	1	140	쌍고검																		
27	2	1	140	용린도																		
32	2	1	140	황금극																		
94	2	1	140	은린갑옷																		
99	2	1	140	용린투구																		
104	2	1	140	창월목걸이																		
23	2	1	100	쌍고검+1																		
28	2	1	100	용린도+1																		
33	2	1	100	황금극+1																		
95	2	1	100	은린갑옷+1																		
100	2	1	100	용린투구+1																		
105	2	1	100	창월목걸이+1																		
24	2	1	60	쌍고검+2																		
29	2	1	60	용린도+2																		
34	2	1	60	황금극+2																		
96	2	1	60	은린갑옷+2																		
101	2	1	60	용린투구+2																		
106	2	1	60	창월목걸이+2																		
25	2	1	40	쌍고검+3																		
30	2	1	40	용린도+3																		
35	2	1	40	황금극+3																		
97	2	1	40	은린갑옷+3																		
102	2	1	40	용린투구+3																		
107	2	1	40	창월목걸이+3																		
26	2	1	20	쌍고검+4																		
31	2	1	20	용린도+4																		
36	2	1	20	황금극+4																		
98	2	1	20	은린갑옷+4																		
103	2	1	20	용린투구+4																		
108	2	1	20	창월목걸이+4																		
37	2	1	16	정•쌍고검																		
43	2	1	16	정•용린도																		
49	2	1	16	정•황금극																		
109	2	1	16	정•은린갑옷																		
115	2	1	16	정•용린투구																		
121	2	1	16	정•창월목걸이																		
38	2	1	10	정•쌍고검+1																		
44	2	1	10	정•용린도+1																		
50	2	1	10	정•황금극+1																		
110	2	1	10	정•은린갑옷+1																		
116	2	1	10	정•용린투구+1																		
122	2	1	10	정•창월목걸이+1																		
39	2	1	5	정•쌍고검+2																		
45	2	1	5	정•용린도+2																		
51	2	1	5	정•황금극+2																		
111	2	1	5	정•은린갑옷+2																		
117	2	1	5	정•용린투구+2																		
123	2	1	5	정•창월목걸이+2																		
40	2	1	4	정•쌍고검+3																		
46	2	1	4	정•용린도+3																		
52	2	1	4	정•황금극+3																		
112	2	1	4	정•은린갑옷+3																		
118	2	1	4	정•용린투구+3																		
124	2	1	4	정•창월목걸이+3																		
41	2	1	3	정•쌍고검+4																		
47	2	1	3	정•용린도+4																		
53	2	1	3	정•황금극+4																		
113	2	1	3	정•은린갑옷+4																		
119	2	1	3	정•용린투구+4																		
125	2	1	3	정•창월목걸이+4																		
42	2	1	2	정•쌍고검+5																		
48	2	1	2	정•용린도+5																		
54	2	1	2	정•황금극+5																		
114	2	1	2	정•은린갑옷+5																		
120	2	1	2	정•용린투구+5																		
126	2	1	2	정•창월목걸이+5																		
