序号	时机	人物1	位置1	对白1	人物2	位置2	对白2	人物3	位置3	对白3	人物4	位置4	对白4	人物5	位置5	对白5	人物6	位置6	对白6	人物7	位置7	对白7	空列
0	0	-1	1	주공: 내가 왜 여기에 와있는 거지? 이 아비규환은 대체 또 뭐야!  	56	2	공손찬: 형제여， 잔소리일랑 집어치우고 어서 이 황건적 일당을 토벌하세. 조정에서 상을 내려줄 것이네.	-1	1	주공: 황건적? 아니 그럼 내가 지금 동한 말로 온 거란 말이야? 저， 저기요， 장군님. 저는 싸움을 못 하는데요.	56	2	공손찬: 쓸데없는 소리하지 말고， 나만 따라 오게!										
1	0	90001	2	황건병사1: 대 천공장군 장각님의 명을 받들라. 본 성을 지나가려는 자 모두 각각 은화 20냥을 상납하여야 한다!	-1	1	주공: 어이가 없네. 이게 황건적이라고? 역사책에서는 착한 농민들의 봉기라고 한거 같은데， 완전 날도둑놈들이잖아?	90002	1	장수1: 주공께서는 걱정하지 마십시오. 소장이 이 백성의 피를 빨아먹는 악당들을 처리하겠습니다!													
2	0	-1	1	주공: 여기는 왜 또 저 노란 무리들이 몰려 있는 거야?	90002	1	장수1: 주공， 이 길은 황건적 일당들이 진을 치고 있습니다. 꼭 이 길을 지나가셔야 하십니까?	-1	1	주공: 어쩔 수 없잖아. 대업을 이루기 위해서는 먼저 유황숙을 찾아야 해!	90002	1	장수1: 주공， 소장이 우둔하여 한 가지만 여쭙겠습니다. 유황숙이 뉘신지요?	-1	1	주공: 유황숙. 유비 말이야.	90002	1	장수1: 그 유비라는 분은 어떤 분인지요?	-1	1	주공: 완전 바보군! 먼저 이 황건적들부터 처리하고 나서 알려줄게!	
3	0	90002	1	장수1: 주공， 저 앞에 어떤 자가 백성들을 상대로 노략질을 하는 것도 모자라 온 마을에 불을 지르고 있습니다.	-1	1	주공: 이것도 황건적의 짓이란 말이야? 농민 봉기라는 게 이런 거라고?	90002	1	장수1: 무슨 말씀이십니까?	-1	1	주공: 그러니깐~… 아니다， 어서 저 놈들을 해치워버리자!	90002	1	장수1: 화공으로 할까요?	-1	1	주공: 질문 좀 그만하고 우선 공격!				
4	0	90003	2	황건두목: 너， 너， 너는 어， 어， 어디서 온 괴물이냐. 가， 가， 감히 나 황， 황， 황건적의 대， 대， 대장군에게 덤비다니.	90002	1	장수1: 주공， 이 놈은 말더듬이입니다. 	-1	1	주공: 네， 네가 내， 내가 누， 누군지 아， 알 바 없， 없잖아.	90003	2	황건두목: 가， 간도 큰 미， 미친 놈이로구나. 네， 네 놈의 모， 목을 따주마!	-1	1	주공: 그냥 확~! 접어벌랑게~!	90002	1	장수1: 주공， 그 말씀은 무슨 뜻인지요?                                            	-1	1	주공: 음…다 죽여버리겠다라는 거지!	
5	1	90003	2	황건두목: 이， 이， 가， 감히 천공 장， 장군의 위세에 더， 덤비다니， 주， 죽 죽어도 따， 땅에 묻히지 모， 모， 못할 것이다!	90002	1	장수1: 주， 주공， 처， 처리해버릴까요?	-1	1	주공: 왜 당신까지 갑자기 말더듬이가 된 거야? 길을 안내해줄 사람이 필요하니까 일단 살려두자구. 우선 이 황건적떼들을 좀 피해서 가야겠어.	90002	1	장수1: 네， 주공! 근데 말씀하신 유황숙님은 도대체 어디에 계신 겁니까?										
6	0	90004	2	황건병사2: 웬 놈들이냐! 감히 우리 황건적을 적으로 돌릴 셈이냐?	-1	1	주공: 야! 이 길로 가면 황건적은 없다고 하지 않았어?	90002	1	장수1: 죄송합니다! 주공! 근데 소장이 배가 너무 고파 계속 싸움을 할 수 있을지 모르겠습니다!	-1	1	주공: 뱃속에 거지가 들었냐? 이번 싸움이 끝나면 시원한 아이스크림을 사줄 테니 기다려봐!	90002	1	장수1: 주공의 명， 받들겠습니다! 아， 주공， 하오나 그 시원한 아이수구리무라고 하는 것은 무엇인지요…?	-1	1	주공: 아이수… 그게 아니라… 아무튼 먼저 저 놈들부터 어떻게 한 뒤에 다시 얘기하자구!				
7	0	90002	1	장수1: 주공， 그 유황숙이라는 분은 도대체 어디에 사시는 성인이십니까? 이렇게 힘들게 찾아야만 하는 이유가 있는 것입니까?	-1	1	주공: 가만히 있어봐. 이제 요새 몇 개만 지나면 탁군이다. 책에는 유비가 거기서 짚신을 팔고 있다고 나와있었다고.	90002	1	장수1: 짚신장수가 뭐가 그리 중요한 것입니까? 소장이 아는 아가씨가 한 명 있는데 각종 짚신에 멍석， 밀짚모자까지 못 만드는 것이 없습니다… 소개시켜 드릴까요?	-1	1	주공: 거 참. 짚신 때문에 여기까지 온 게 아니란 말이야.	90002	1	장수1: 주공， 큰일 났습니다. 또 황건적 입니다!							
8	0	90005	2	황건요녀: 별 볼 일 없는 도적떼들이 있다더니， 너희들은 여기까지다. 더 할 말 있느냐?	-1	1	주공: 어허~ 도적이라니요. 꼬박꼬박 소득세에 갑근세에， 각종 지방세도 내고， 의료보험， 원천징수세， 부가가치세까지 다 내는 사람한테!	90002	1	장수1: 주공? 무슨 말씀이신지요? 못 알아듣겠습니다.	-1	1	주공: 아저씨， 제발 가만히 좀 있으면 안돼요? 내가 주의 끌고 있는 거 안 보여? 기습할 수 있는 기회를 만들고 있는 거잖아?	90005	2	황건요녀: 흥， 그런 잔꾀는 이 몸 앞에서는 다 소용 없는 짓! 내 칼을 받아라!							
9	0	90006	2	정원지: 간이 부었군， 감히 청목관에 들이닥치다니!	-1	1	주공: 청목관만 지나면 탁군이다. 형제들이여， 부귀영화가 바로 코앞에 왔구나!	90014	2	황건적: 본장의 부하들은 모두 다 하늘에서 내려온 신병과 신장들이다. 살아서 갈 수 있을 것 같으냐?	-1	1	주공: 대체 뭐 이렇게 많아! 대포 하나만 있었더라면…	90002	1	장수1: 주공， 대포는 또 무엇입니까?							
