序号	品质	最高等级	装备名	装备类别	增加属性类型	初始数值值	每级增加值	强化消耗曲线	道具描述	icon图片ID	背景图片ID	出售价格	空行
1	5	100	动能拳套	1	1	72	8.1	5	废话一大堆	1	0	523	
2	5	100	庇护之刃	1	1	55	8.3	5	废话一大堆	1	0	514	
3	5	100	帝光剑	1	1	72	7.7	5	废话一大堆	1	0	505	
4	5	100	胜利者之剑	1	1	52	7.9	5	废话一大堆	1	0	496	
5	5	100	加强霰弹枪	1	1	48	7.5	5	废话一大堆	1	0	487	
6	5	100	大师之杖	1	1	70	8.1	5	废话一大堆	1	0	478	
7	5	100	金手指	1	1	67	7.7	5	废话一大堆	1	0	469	
8	5	100	郎基努斯长矛	1	1	63	7.3	5	废话一大堆	1	0	460	
9	4	100	激光笔	1	1	45	6.2	4	废话一大堆	1	0	104	
10	4	100	天使回旋镖	1	1	30	6.3	4	废话一大堆	1	0	101	
11	4	100	祝福法杖	1	1	43	5.9	4	废话一大堆	1	0	122	
12	4	100	雷霆战锤	1	1	33	6	4	废话一大堆	1	0	115	
13	4	100	超能手枪	1	1	31	5.7	4	废话一大堆	1	0	108	
14	4	100	七星剑	1	1	40	6.2	4	废话一大堆	1	0	101	
15	4	100	瑞士军刀	1	1	38	5.9	4	废话一大堆	1	0	94	
16	4	100	合金拳套	1	1	36	5.6	4	废话一大堆	1	0	87	
17	4	100	阿波罗长弓	1	1	36	5.6	4	废话一大堆	1	0	80	
18	3	100	柯尔特手枪	1	1	25	4.7	3	废话一大堆	1	0	64	
19	3	100	狼牙棍	1	1	17	4.8	3	废话一大堆	1	0	62	
20	3	100	晶玉权杖	1	1	26	4.5	3	废话一大堆	1	0	60	
21	3	100	锋锐标枪	1	1	16	4.6	3	废话一大堆	1	0	58	
22	3	100	迅捷匕首	1	1	15	4.3	3	废话一大堆	1	0	56	
23	3	100	东瀛忍镖	1	1	22	4.7	3	废话一大堆	1	0	54	
24	3	100	铁虎刺	1	1	21	4.5	3	废话一大堆	1	0	52	
25	3	100	铜箍棒	1	1	20	4.2	3	废话一大堆	1	0	50	
26	3	100	黄金剑	1	1	25	4.7	3	废话一大堆	1	0	48	
27	3	100	大十字架	1	1	17	4.8	3	废话一大堆	1	0	46	
28	3	100	钻石笔	1	1	26	4.5	3	废话一大堆	1	0	44	
29	3	100	死亡镰刀	1	1	16	4.6	3	废话一大堆	1	0	42	
30	3	100	女王长鞭	1	1	15	4.3	3	废话一大堆	1	0	40	
31	2	100	初学者之杖	1	1	11	3.5	2	废话一大堆	1	0	23	
32	2	100	扫帚	1	1	9	3.5	2	废话一大堆	1	0	22	
33	2	100	皮手套	1	1	10	3.3	2	废话一大堆	1	0	21	
34	2	100	弹弓	1	1	8	3.3	2	废话一大堆	1	0	20	
35	2	100	左轮手枪	1	1	8	3.2	2	废话一大堆	1	0	19	
36	2	100	弹簧刀	1	1	11	3.5	2	废话一大堆	1	0	18	
37	2	100	板砖	1	1	10	3.3	2	废话一大堆	1	0	17	
38	2	100	鱼骨剑	1	1	10	3.2	2	废话一大堆	1	0	16	
39	2	100	羽毛笔	1	1	10	3.3	2	废话一大堆	1	0	15	
40	1	100	水枪	1	1	5	2.6	1	废话一大堆	1	0	5	
