ID	名字	类型	品质	属性类型	属性值	随机属性概率1	随机属性概率2	随机属性概率3	随机属性概率4	随机属性概率5	随机属性概率6	价格	资源	描述	强化材料	强化ID	强化概率	合成材料	合成ID	洗练材料	空行	
1	철검	1	10	1	24	0	0	0	0	0	0	850	tjian.png	철로 만든 검， 예리도 보통								
4	철도	1	10	1	38	0	0	0	0	0	0	1060	tdao.png	철로 만든 칼， 예리도 보통								
7	철극	1	10	1	30	0	0	0	0	0	0	740	tji.png	철로 만든 극， 예리도 보통								
73	경피갑	2	10	2	320	0	0	0	0	0	0	650	ypjia.png	가죽 갑옷. 일반적인 장비								
76	철투구	3	10	3	26	0	0	0	0	0	0	230	ttkui.png	철 갑옷. 일반적인 장비								
79	진주목걸이	4	10	4	40	0	0	0	0	0	0	260	zzxlian.png	진주 목걸이. 예쁘고 실용적.								
2	철검+1	1	11	1	30	0	0	0	0	0	0	1270	tjian.png	철로 만든 검， 예리도 보통								
5	철도+1	1	11	1	48	0	0	0	0	0	0	1580	tdao.png	철로 만든 칼， 예리도 보통								
8	철극+1	1	11	1	38	0	0	0	0	0	0	1110	tji.png	철로 만든 극， 예리도 보통								
74	경피갑+1	2	11	2	414	0	0	0	0	0	0	970	ypjia.png	가죽 갑옷. 일반적인 장비								
77	철투구+1	3	11	3	32	0	0	0	0	0	0	340	ttkui.png	철 갑옷. 일반적인 장비								
80	진주목걸이+1	4	11	4	52	0	0	0	0	0	0	390	zzxlian.png	진주 목걸이. 예쁘고 실용적.								
3	철검+2	1	12	1	38	0	0	0	0	0	0	1910	tjian.png	철로 만든 검， 예리도 보통								
6	철도+2	1	12	1	60	0	0	0	0	0	0	2380	tdao.png	철로 만든 칼， 예리도 보통								
9	철극+2	1	12	1	48	0	0	0	0	0	0	1680	tji.png	철로 만든 극， 예리도 보통								
75	경피갑+2	2	12	2	510	0	0	0	0	0	0	1460	ypjia.png	가죽 갑옷. 일반적인 장비								
78	철투구+2	3	12	3	40	0	0	0	0	0	0	520	ttkui.png	철 갑옷. 일반적인 장비								
81	진주목걸이+2	4	12	4	62	0	0	0	0	0	0	580	zzxlian.png	진주 목걸이. 예쁘고 실용적.								
10	정•철검	1	20	1	48	0.4	0	0	0	0	0	6800	tjian.png	철로 만든 검， 예리도 높음								
14	정•철도	1	20	1	80	0.4	0	0	0	0	0	8500	tdao.png	철로 만든 칼， 예리도 높음								
18	정•철극	1	20	1	62	0.4	0	0	0	0	0	5960	tji.png	철로 만든 극， 예리도 높음								
82	정•경피갑	2	20	2	664	0.4	0	0	0	0	0	5100	ypjia.png	가죽 갑옷. 일반적인 장비								
86	정•철투구	3	20	3	50	0.4	0	0	0	0	0	2040	ttkui.png	철 갑옷. 일반적인 장비								
90	정•진주목걸이	4	20	4	80	0.4	0	0	0	0	0	2200	zzxlian.png	진주 목걸이. 예쁘고 실용적.								
11	정•철검+1	1	21	1	58	0.4	0	0	0	0	0	8840	tjian.png	철로 만든 검， 예리도 높음								
15	정•철도+1	1	21	1	96	0.4	0	0	0	0	0	11050	tdao.png	철로 만든 칼， 예리도 높음								
19	정•철극+1	1	21	1	74	0.4	0	0	0	0	0	7770	tji.png	철로 만든 극， 예리도 높음								
83	정•경피갑+1	2	21	2	796	0.4	0	0	0	0	0	6630	ypjia.png	가죽 갑옷. 일반적인 장비								
87	정•철투구+1	3	21	3	60	0.4	0	0	0	0	0	2600	ttkui.png	철 갑옷. 일반적인 장비								
91	정•진주목걸이+1	4	21	4	96	0.4	0	0	0	0	0	2900	zzxlian.png	진주 목걸이. 예쁘고 실용적.								
12	정•철검+2	1	22	1	70	0.4	0	0	0	0	0	10880	tjian.png	철로 만든 검， 예리도 높음								
16	정•철도+2	1	22	1	114	0.4	0	0	0	0	0	13600	tdao.png	철로 만든 칼， 예리도 높음								
20	정•철극+2	1	22	1	90	0.4	0	0	0	0	0	9570	tji.png	철로 만든 극， 예리도 높음								
84	정•경피갑+2	2	22	2	954	0.4	0	0	0	0	0	8160	ypjia.png	가죽 갑옷. 일반적인 장비								
88	정•철투구+2	3	22	3	74	0.4	0	0	0	0	0	3260	ttkui.png	철 갑옷. 일반적인 장비								
92	정•진주목걸이+2	4	22	4	116	0.4	0	0	0	0	0	3600	zzxlian.png	진주 목걸이. 예쁘고 실용적.								
13	정•철검+3	1	23	1	84	0.4	0	0	0	0	0	12920	tjian.png	철로 만든 검， 예리도 높음								
17	정•철도+3	1	23	1	136	0.4	0	0	0	0	0	16150	tdao.png	철로 만든 칼， 예리도 높음								
21	정•철극+3	1	23	1	108	0.4	0	0	0	0	0	11300	tji.png	철로 만든 극， 예리도 높음								
85	정•경피갑+3	2	23	2	1146	0.4	0	0	0	0	0	9690	ypjia.png	가죽 갑옷. 일반적인 장비								
89	정•철투구+3	3	23	3	88	0.4	0	0	0	0	0	3870	ttkui.png	철 갑옷. 일반적인 장비								
93	정•진주목걸이+3	4	23	4	140	0.4	0	0	0	0	0	4270	zzxlian.png	진주 목걸이. 예쁘고 실용적.								
22	쌍고검	1	30	1	112	0.2	0.4	0	0	0	0	17900	sgjian.png	원앙검이라고도 함. 원검은 삼척칠촌， 앙검은 삼척사촌으로， 매우 예리하여 금도 쉽게 자를 수 있음								
