序号	品质	装备名	使用脚本	道具描述	icon图片ID	排序编号	合成所需碎片数量	所需钱币类型	所需钱币	所需物品id	所需物品类型	所需物品数量	空行
1	5	赐福匕首	0	合成赐福匕首需要碎片50个	1	1	50	2	5000	0	0	0	
2	5	沙漠之鹰	0	合成沙漠之鹰需要碎片50个	1	1	50	2	5000	0	0	0	
3	5	真理手杖	0	合成真理手杖需要碎片50个	1	1	50	2	5000	0	0	0	
4	5	毁灭之锤	0	合成毁灭之锤需要碎片50个	1	1	50	2	5000	0	0	0	
5	5	帝王剑	0	合成帝王剑需要碎片50个	1	1	50	2	5000	0	0	0	
6	5	保卫长矛	0	合成保卫长矛需要碎片50个	1	1	50	2	5000	0	0	0	
7	5	全能法球	0	合成全能法球需要碎片50个	1	1	50	2	5000	0	0	0	
8	5	卓越之剑	0	合成卓越之剑需要碎片50个	1	1	50	2	5000	0	0	0	
9	4	霰弹枪	0	合成霰弹枪需要碎片30个	1	2	30	2	3000	0	0	0	
10	4	精武长枪	0	合成精武长枪需要碎片30个	1	2	30	2	3000	0	0	0	
11	4	白银匕首	0	合成白银匕首需要碎片30个	1	2	30	2	3000	0	0	0	
12	4	蟒蛇手枪	0	合成蟒蛇手枪需要碎片30个	1	2	30	2	3000	0	0	0	
13	4	平静之杖	0	合成平静之杖需要碎片30个	1	2	30	2	3000	0	0	0	
14	4	狼牙锤	0	合成狼牙锤需要碎片30个	1	2	30	2	3000	0	0	0	
15	4	探索长剑	0	合成探索长剑需要碎片30个	1	2	30	2	3000	0	0	0	
16	4	征服长矛	0	合成征服长矛需要碎片30个	1	2	30	2	3000	0	0	0	
17	4	心声之球	0	合成心声之球需要碎片30个	1	2	30	2	3000	0	0	0	
18	3	仇恨之刺	0	合成仇恨之刺需要碎片15个	1	3	15	2	1000	0	0	0	
19	3	逆刃刀	0	合成逆刃刀需要碎片15个	1	3	15	2	1000	0	0	0	
20	3	镶玉匕首	0	合成镶玉匕首需要碎片15个	1	3	15	2	1000	0	0	0	
21	3	能量手枪	0	合成能量手枪需要碎片15个	1	3	15	2	1000	0	0	0	
22	3	古藤手杖	0	合成古藤手杖需要碎片15个	1	3	15	2	1000	0	0	0	
23	3	力量之锤	0	合成力量之锤需要碎片15个	1	3	15	2	1000	0	0	0	
24	3	书生剑	0	合成书生剑需要碎片15个	1	3	15	2	1000	0	0	0	
25	3	勇士长矛	0	合成勇士长矛需要碎片15个	1	3	15	2	1000	0	0	0	
26	3	幻术水晶	0	合成幻术水晶需要碎片15个	1	3	15	2	1000	0	0	0	
27	3	柯尔特手枪	0	合成柯尔特手枪需要碎片15个	1	3	15	2	1000	0	0	0	
28	3	智慧手杖	0	合成智慧手杖需要碎片15个	1	3	15	2	1000	0	0	0	
29	3	坚硬石锤	0	合成坚硬石锤需要碎片15个	1	3	15	2	1000	0	0	0	
30	3	精铁剑	0	合成精铁剑需要碎片15个	1	3	15	2	1000	0	0	0	
31	2	愤怒手戟	0	合成愤怒手戟需要碎片10个	1	4	10	2	500	0	0	0	
32	2	希望之球	0	合成希望之球需要碎片10个	1	4	10	2	500	0	0	0	
33	2	匕首	0	合成匕首需要碎片10个	1	4	10	2	500	0	0	0	
34	2	小手枪	0	合成小手枪需要碎片10个	1	4	10	2	500	0	0	0	
35	2	木质手杖	0	合成木质手杖需要碎片10个	1	4	10	2	500	0	0	0	
36	2	木锤	0	合成木锤需要碎片10个	1	4	10	2	500	0	0	0	
37	2	长剑	0	合成长剑需要碎片10个	1	4	10	2	500	0	0	0	
38	2	长矛	0	合成长矛需要碎片10个	1	4	10	2	500	0	0	0	
39	2	魔法球	0	合成魔法球需要碎片10个	1	4	10	2	500	0	0	0	
40	1	折叠小刀	0	合成折叠小刀需要碎片5个	1	5	5	2	200	0	0	0	
41	1	消音枪	0	合成消音枪需要碎片5个	1	5	5	2	200	0	0	0	
42	1	龙头手杖	0	合成龙头手杖需要碎片5个	1	5	5	2	200	0	0	0	
43	1	石锤	0	合成石锤需要碎片5个	1	5	5	2	200	0	0	0	
44	1	利刃	0	合成利刃需要碎片5个	1	5	5	2	200	0	0	0	
45	1	长枪	0	合成长枪需要碎片5个	1	5	5	2	200	0	0	0	
2001	5	博学长袍	0	合成博学长袍需要碎片50个	1	1	50	2	5000	0	0	0	
2002	5	弑神战铠	0	合成弑神战铠需要碎片50个	1	1	50	2	5000	0	0	0	
2003	5	绝世外套	0	合成绝世外套需要碎片50个	1	1	50	2	5000	0	0	0	
2004	5	荣光长袍	0	合成荣光长袍需要碎片50个	1	1	50	2	5000	0	0	0	
2005	5	天佑外套	0	合成天佑外套需要碎片50个	1	1	50	2	5000	0	0	0	
2006	4	荣耀战铠	0	合成荣耀战铠需要碎片30个	1	2	30	2	3000	0	0	0	
2007	4	逐日护甲	0	合成逐日护甲需要碎片30个	1	2	30	2	3000	0	0	0	
2008	4	宽恕长袍	0	合成宽恕长袍需要碎片30个	1	2	30	2	3000	0	0	0	
2009	4	学者护甲	0	合成学者护甲需要碎片30个	1	2	30	2	3000	0	0	0	
2010	4	无畏护甲	0	合成无畏护甲需要碎片30个	1	2	30	2	3000	0	0	0	
2011	3	信仰战铠	0	合成信仰战铠需要碎片15个	1	3	15	2	1000	0	0	0	
2012	3	智者外衣	0	合成智者外衣需要碎片15个	1	3	15	2	1000	0	0	0	
2013	3	复仇长袍	0	合成复仇长袍需要碎片15个	1	3	15	2	1000	0	0	0	
2014	3	灵霜长袍	0	合成灵霜长袍需要碎片15个	1	3	15	2	1000	0	0	0	
2015	3	皓月外套	0	合成皓月外套需要碎片15个	1	3	15	2	1000	0	0	0	
2016	2	勇气护甲	0	合成勇气护甲需要碎片10个	1	4	10	2	500	0	0	0	
2017	2	孤影外套	0	合成孤影外套需要碎片10个	1	4	10	2	500	0	0	0	
2018	2	轻羽长袍	0	合成轻羽长袍需要碎片10个	1	4	10	2	500	0	0	0	
2019	2	虔诚外套	0	合成虔诚外套需要碎片10个	1	4	10	2	500	0	0	0	
2020	2	书生长袍	0	合成书生长袍需要碎片10个	1	4	10	2	500	0	0	0	
2021	1	制服	0	合成制服需要碎片5个	1	5	5	2	200	0	0	0	
2022	1	礼服	0	合成礼服需要碎片5个	1	5	5	2	200	0	0	0	
2023	1	运动服	0	合成运动服需要碎片5个	1	5	5	2	200	0	0	0	
4001	5	博学之戒	0	合成博学之戒需要碎片50个	1	1	50	2	5000	0	0	0	
4002	5	弑神项链	0	合成弑神项链需要碎片50个	1	1	50	2	5000	0	0	0	
4003	5	绝世之环	0	合成绝世之环需要碎片50个	1	1	50	2	5000	0	0	0	
4004	5	荣光手镯	0	合成荣光手镯需要碎片50个	1	1	50	2	5000	0	0	0	
4005	5	天佑护符	0	合成天佑护符需要碎片50个	1	1	50	2	5000	0	0	0	
4006	4	荣耀之环	0	合成荣耀之环需要碎片30个	1	2	30	2	3000	0	0	0	
4007	4	逐日手镯	0	合成逐日手镯需要碎片30个	1	2	30	2	3000	0	0	0	
4008	4	宽恕护符	0	合成宽恕护符需要碎片30个	1	2	30	2	3000	0	0	0	
4009	4	学者之戒	0	合成学者之戒需要碎片30个	1	2	30	2	3000	0	0	0	
4010	4	无畏项链	0	合成无畏项链需要碎片30个	1	2	30	2	3000	0	0	0	
4011	3	信仰护符	0	合成信仰护符需要碎片15个	1	3	15	2	1000	0	0	0	
4012	3	智者之戒	0	合成智者之戒需要碎片15个	1	3	15	2	1000	0	0	0	
4013	3	复仇项链	0	合成复仇项链需要碎片15个	1	3	15	2	1000	0	0	0	
4014	3	灵霜之环	0	合成灵霜之环需要碎片15个	1	3	15	2	1000	0	0	0	
4015	3	皓月手镯	0	合成皓月手镯需要碎片15个	1	3	15	2	1000	0	0	0	
4016	2	勇气项链	0	合成勇气项链需要碎片10个	1	4	10	2	500	0	0	0	
4017	2	孤影之环	0	合成孤影之环需要碎片10个	1	4	10	2	500	0	0	0	
4018	2	轻羽手镯	0	合成轻羽手镯需要碎片10个	1	4	10	2	500	0	0	0	
4019	2	虔诚护符	0	合成虔诚护符需要碎片10个	1	4	10	2	500	0	0	0	
