ID	姓名	是否掉落	掉落章节	副本类型	掉落描述1	掉落描述2	掉落描述3	掉落描述4	掉落描述5	掉落描述6	空行											
32	황보숭	1	11	1	객잔에서 뽑기를 통해 획득																	
33	유장	1	11	1	객잔에서 뽑기를 통해 획득																	
34	장수	1	11	1	객잔에서 뽑기를 통해 획득																	
35	조절	1	11	1	객잔에서 뽑기를 통해 획득																	
36	정보	1	11	1	객잔에서 뽑기를 통해 획득																	
37	손로반	1	11	1	객잔에서 뽑기를 통해 획득																	
38	주연	1	11	1	객잔에서 뽑기를 통해 획득																	
39	능조	1	11	1	객잔에서 뽑기를 통해 획득																	
40	관평				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
41	위연				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
42	장포				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
43	법정				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
44	관흥				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
45	포삼낭	1	1	2	객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
46	주창	1	2	2	객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
47	관색				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
48	하후패				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
49	엄안				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
50	맹획				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
51	원소				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
52	화웅	1	4	2	객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
53	안량				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
54	문추				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
55	진궁				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
56	공손찬				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
57	고순	1	5	2	객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
58	이유				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
59	장임				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
60	전위				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
61	허저				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
62	조창				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
63	방덕				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
64	장합				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
65	서황				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
66	우금				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
67	주태	1	3	2	객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
68	능통				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
69	황개				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
70	노숙				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
71	우번				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
72	제갈근				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
73	반장				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
74	유비				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
75	관우				객잔에서 뽑기를 통해 획득		포인트 상점에서 교환을 통해 획득															
76	장비				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
77	마초				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
78	조운				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득	포인트 상점에서 교환을 통해 획득															
79	제갈량				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
80	손상향				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
81	강유				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
82	제갈과				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
83	방통				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
