英雄id	英雄星级	概率	姓名
74	5	1	刘备
75	5	1	关羽
76	5	1	张飞
77	5	1	马超
78	5	1	赵云
79	5	1	诸葛亮
80	5	1	孙尚香
81	5	1	姜维
82	5	1	诸葛果
83	5	1	庞统
84	5	1	黄忠
85	5	1	董卓
86	5	1	吕布
87	5	1	貂蝉
88	5	1	张角
89	5	1	蔡文姬
90	5	1	吕玲绮
91	5	1	华佗
92	5	1	祝融
93	5	1	曹操
94	5	1	司马懿
95	5	1	甄姬
96	5	1	夏侯惇
97	5	1	张辽
98	5	1	司马昭
99	5	1	邓艾
100	5	1	张春华
101	5	1	夏侯渊
102	5	1	荀攸
103	5	1	荀彧
104	5	1	贾诩
105	5	1	孙权
106	5	1	孙策
107	5	1	甘宁
108	5	1	太史慈
109	5	1	周瑜
110	5	1	大乔
111	5	1	小乔
112	5	1	吕蒙
113	5	1	孙坚
114	6	1	貂蝉(幻)
115	6	1	祝融(幻)
116	6	1	小乔(幻)
117	6	1	张飞(幻)
118	6	1	孙尚香(幻)
119	6	1	刘备(幻)
120	6	1	诸葛亮(幻)
121	6	1	吕玲绮(幻)
122	6	1	夏侯惇(幻)
123	6	1	甄姬(幻)
124	6	1	蔡文姬(幻)
125	6	1	周瑜(幻)
126	6	1	张辽(幻)
127	6	1	关羽(幻)
128	6	1	曹操(幻)
129	6	1	赵云(幻)
130	6	1	吕布(幻)
131	6	1	孙权(幻)
