ID	类型	数量	概率	名字	空行
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
1	1	1	1	测试	
