序号,动画名称,动画资源路径,精灵帧路径,空行
1,chaochao_plist,cs/animaRes/unitAnimas/chaochao.plist,cs/animaRes/unitAnimas/chaochao_Res.plist,
2,diaocan_plist,cs/animaRes/unitAnimas/diaocan.plist,cs/animaRes/unitAnimas/diaocan_Res.plist,
3,dongzuo_plist,cs/animaRes/unitAnimas/dongzuo.plist,cs/animaRes/unitAnimas/dongzuo_Res.plist,
4,ganling_plist,cs/animaRes/unitAnimas/ganling.plist,cs/animaRes/unitAnimas/ganling_Res.plist,
5,huangyueyin_plist,cs/animaRes/unitAnimas/huangyueyin.plist,cs/animaRes/unitAnimas/huangyueyin_Res.plist,
6,liubei_plist,cs/animaRes/unitAnimas/liubei.plist,cs/animaRes/unitAnimas/liubei_Res.plist,
7,lvbu_plist,cs/animaRes/unitAnimas/lvbu.plist,cs/animaRes/unitAnimas/lvbu_Res.plist,
8,shunshangxiang_plist,cs/animaRes/unitAnimas/shunshangxiang.plist,cs/animaRes/unitAnimas/shunshangxiang_Res.plist,
9,simayi_plist,cs/animaRes/unitAnimas/simayi.plist,cs/animaRes/unitAnimas/simayi_Res.plist,
10,sunquan_plist,cs/animaRes/unitAnimas/sunquan.plist,cs/animaRes/unitAnimas/sunquan_Res.plist,
11,xiahoudun_plist,cs/animaRes/unitAnimas/xiahoudun.plist,cs/animaRes/unitAnimas/xiahoudun_Res.plist,
12,zhaoyun_plist,cs/animaRes/unitAnimas/zhaoyun.plist,cs/animaRes/unitAnimas/zhaoyun_Res.plist,
13,zhengmi_plist,cs/animaRes/unitAnimas/zhengmi.plist,cs/animaRes/unitAnimas/zhengmi_Res.plist,
14,zhouyu_plist,cs/animaRes/unitAnimas/zhouyu.plist,cs/animaRes/unitAnimas/zhouyu_Res.plist,
15,zhugeliang_plist,cs/animaRes/unitAnimas/zhugeliang.plist,cs/animaRes/unitAnimas/zhugeliang_Res.plist,
