等级	物品	空行
2	{{-6,4,100},{-2,4,50},{-3,4,2000}}	
3	{{-6,4,115},{-2,4,50},{-3,4,3000}}	
4	{{-6,4,130},{-2,4,50},{-3,4,4000}}	
5	{{-6,4,145},{-2,4,50},{-3,4,5000},{43,4,1}}	
6	{{-6,4,160},{-2,4,50},{-3,4,6000}}	
7	{{-6,4,175},{-2,4,50},{-3,4,7000}}	
8	{{-6,4,190},{-2,4,50},{-3,4,8000}}	
9	{{-6,4,205},{-2,4,50},{-3,4,9000}}	
10	{{-6,4,220},{-2,4,50},{-3,4,10000},{28,4,2}}	
11	{{-6,4,235},{-2,4,50},{-3,4,11000}}	
12	{{-6,4,250},{-2,4,50},{-3,4,12000}}	
13	{{-6,4,265},{-2,4,50},{-3,4,13000}}	
14	{{-6,4,280},{-2,4,50},{-3,4,14000}}	
15	{{-6,4,295},{-2,4,50},{-3,4,15000}}	
16	{{-6,4,310},{-2,4,50},{-3,4,16000}}	
17	{{-6,4,325},{-2,4,50},{-3,4,17000}}	
18	{{-6,4,340},{-2,4,50},{-3,4,18000}}	
19	{{-6,4,355},{-2,4,50},{-3,4,19000}}	
20	{{-6,4,400},{-2,4,50},{-3,4,20000}}	
21	{{-6,4,445},{-2,4,50},{-3,4,21000}}	
22	{{-6,4,490},{-2,4,50},{-3,4,22000}}	
23	{{-6,4,535},{-2,4,50},{-3,4,23000}}	
24	{{-6,4,580},{-2,4,50},{-3,4,24000}}	
25	{{-6,4,625},{-2,4,50},{-3,4,25000}}	
26	{{-6,4,670},{-2,4,50},{-3,4,26000}}	
27	{{-6,4,715},{-2,4,50},{-3,4,27000}}	
28	{{-6,4,760},{-2,4,50},{-3,4,28000}}	
29	{{-6,4,805},{-2,4,50},{-3,4,29000}}	
30	{{-6,4,900},{-2,4,50},{-3,4,30000},{4,4,1}}	
31	{{-6,4,995},{-2,4,50},{-3,4,31000}}	
32	{{-6,4,1090},{-2,4,50},{-3,4,32000}}	
33	{{-6,4,1185},{-2,4,50},{-3,4,33000}}	
34	{{-6,4,1280},{-2,4,50},{-3,4,34000}}	
35	{{-6,4,1375},{-2,4,50},{-3,4,35000}}	
36	{{-6,4,1470},{-2,4,50},{-3,4,36000}}	
37	{{-6,4,1565},{-2,4,50},{-3,4,37000}}	
38	{{-6,4,1660},{-2,4,50},{-3,4,38000}}	
39	{{-6,4,1755},{-2,4,50},{-3,4,39000}}	
40	{{-6,4,1850},{-2,4,50},{-3,4,40000}}	
41	{{-6,4,1945},{-2,4,50},{-3,4,41000}}	
42	{{-6,4,2040},{-2,4,50},{-3,4,42000}}	
43	{{-6,4,2135},{-2,4,50},{-3,4,43000}}	
44	{{-6,4,2230},{-2,4,50},{-3,4,44000}}	
45	{{-6,4,2325},{-2,4,50},{-3,4,45000}}	
46	{{-6,4,2420},{-2,4,50},{-3,4,46000}}	
47	{{-6,4,2515},{-2,4,50},{-3,4,47000}}	
48	{{-6,4,2610},{-2,4,50},{-3,4,48000}}	
49	{{-6,4,2705},{-2,4,50},{-3,4,49000}}	
50	{{-6,4,2800},{-2,4,50},{-3,4,50000}}	
51	{{-6,4,2895},{-2,4,50},{-3,4,51000}}	
52	{{-6,4,2990},{-2,4,50},{-3,4,52000}}	
53	{{-6,4,3085},{-2,4,50},{-3,4,53000}}	
54	{{-6,4,3180},{-2,4,50},{-3,4,54000}}	
55	{{-6,4,3275},{-2,4,50},{-3,4,55000}}	
56	{{-6,4,3370},{-2,4,50},{-3,4,56000}}	
57	{{-6,4,3465},{-2,4,50},{-3,4,57000}}	
58	{{-6,4,3560},{-2,4,50},{-3,4,58000}}	
59	{{-6,4,3655},{-2,4,50},{-3,4,59000}}	
60	{{-6,4,3750},{-2,4,50},{-3,4,60000}}	
61	{{-6,4,3845},{-2,4,50},{-3,4,61000}}	
62	{{-6,4,3940},{-2,4,50},{-3,4,62000}}	
63	{{-6,4,4035},{-2,4,50},{-3,4,63000}}	
64	{{-6,4,4130},{-2,4,50},{-3,4,64000}}	
65	{{-6,4,4225},{-2,4,50},{-3,4,65000}}	
66	{{-6,4,4320},{-2,4,50},{-3,4,66000}}	
67	{{-6,4,4415},{-2,4,50},{-3,4,67000}}	
68	{{-6,4,4510},{-2,4,50},{-3,4,68000}}	
69	{{-6,4,4605},{-2,4,50},{-3,4,69000}}	
70	{{-6,4,4700},{-2,4,50},{-3,4,70000}}	
71	{{-6,4,4795},{-2,4,50},{-3,4,71000}}	
72	{{-6,4,4890},{-2,4,50},{-3,4,72000}}	
73	{{-6,4,4985},{-2,4,50},{-3,4,73000}}	
74	{{-6,4,5080},{-2,4,50},{-3,4,74000}}	
75	{{-6,4,5175},{-2,4,50},{-3,4,75000}}	
76	{{-6,4,5270},{-2,4,50},{-3,4,76000}}	
77	{{-6,4,5365},{-2,4,50},{-3,4,77000}}	
78	{{-6,4,5460},{-2,4,50},{-3,4,78000}}	
79	{{-6,4,5555},{-2,4,50},{-3,4,79000}}	
80	{{-6,4,5650},{-2,4,50},{-3,4,80000}}	
81	{{-6,4,5745},{-2,4,50},{-3,4,81000}}	
82	{{-6,4,5840},{-2,4,50},{-3,4,82000}}	
83	{{-6,4,5935},{-2,4,50},{-3,4,83000}}	
84	{{-6,4,6030},{-2,4,50},{-3,4,84000}}	
85	{{-6,4,6125},{-2,4,50},{-3,4,85000}}	
86	{{-6,4,6220},{-2,4,50},{-3,4,86000}}	
87	{{-6,4,6315},{-2,4,50},{-3,4,87000}}	
88	{{-6,4,6410},{-2,4,50},{-3,4,88000}}	
89	{{-6,4,6505},{-2,4,50},{-3,4,89000}}	
90	{{-6,4,6600},{-2,4,50},{-3,4,90000}}	
91	{{-6,4,6695},{-2,4,50},{-3,4,91000}}	
92	{{-6,4,6790},{-2,4,50},{-3,4,92000}}	
93	{{-6,4,6885},{-2,4,50},{-3,4,93000}}	
94	{{-6,4,6980},{-2,4,50},{-3,4,94000}}	
95	{{-6,4,7075},{-2,4,50},{-3,4,95000}}	
96	{{-6,4,7170},{-2,4,50},{-3,4,96000}}	
97	{{-6,4,7265},{-2,4,50},{-3,4,97000}}	
98	{{-6,4,7360},{-2,4,50},{-3,4,98000}}	
99	{{-6,4,7455},{-2,4,50},{-3,4,99000}}	
100	{{-6,4,7550},{-2,4,50},{-3,4,100000}}	
101	{{-6,4,7645},{-2,4,50},{-3,4,101000}}	
102	{{-6,4,7740},{-2,4,50},{-3,4,102000}}	
103	{{-6,4,7835},{-2,4,50},{-3,4,103000}}	
104	{{-6,4,7930},{-2,4,50},{-3,4,104000}}	
105	{{-6,4,8025},{-2,4,50},{-3,4,105000}}	
106	{{-6,4,8120},{-2,4,50},{-3,4,106000}}	
107	{{-6,4,8215},{-2,4,50},{-3,4,107000}}	
108	{{-6,4,8310},{-2,4,50},{-3,4,108000}}	
109	{{-6,4,8405},{-2,4,50},{-3,4,109000}}	
110	{{-6,4,8500},{-2,4,50},{-3,4,110000}}	
111	{{-6,4,8595},{-2,4,50},{-3,4,111000}}	
112	{{-6,4,8690},{-2,4,50},{-3,4,112000}}	
113	{{-6,4,8785},{-2,4,50},{-3,4,113000}}	
114	{{-6,4,8880},{-2,4,50},{-3,4,114000}}	
115	{{-6,4,8975},{-2,4,50},{-3,4,115000}}	
116	{{-6,4,9070},{-2,4,50},{-3,4,116000}}	
117	{{-6,4,9165},{-2,4,50},{-3,4,117000}}	
118	{{-6,4,9260},{-2,4,50},{-3,4,118000}}	
119	{{-6,4,9355},{-2,4,50},{-3,4,119000}}	
120	{{-6,4,9450},{-2,4,50},{-3,4,120000}}	
121	{{-6,4,9545},{-2,4,50},{-3,4,121000}}	
122	{{-6,4,9640},{-2,4,50},{-3,4,122000}}	
123	{{-6,4,9735},{-2,4,50},{-3,4,123000}}	
124	{{-6,4,9830},{-2,4,50},{-3,4,124000}}	
125	{{-6,4,9925},{-2,4,50},{-3,4,125000}}	
126	{{-6,4,10020},{-2,4,50},{-3,4,126000}}	
127	{{-6,4,10115},{-2,4,50},{-3,4,127000}}	
128	{{-6,4,10210},{-2,4,50},{-3,4,128000}}	
129	{{-6,4,10305},{-2,4,50},{-3,4,129000}}	
130	{{-6,4,10400},{-2,4,50},{-3,4,130000}}	
