品质	ID	概率	姓名	空行																		
5	74	3	유비																			
5	75	3	관우																			
5	76	3	장비																			
5	77	3	마초																			
5	78	1	조운																			
5	79	1	제갈량																			
5	80	3	손상향																			
5	81	3	강유																			
5	82	3	제갈과																			
5	83	3	방통																			
5	84	3	황충																			
5	85	3	동탁																			
5	86	1	여포																			
5	87	3	초선																			
5	88	1	장각																			
5	89	3	채문희																			
5	90	3	여령기																			
5	91	1	화타																			
5	92	3	축융																			
5	93	3	조조																			
5	94	1	사마의																			
5	95	3	견희																			
5	96	3	하후돈																			
5	97	1	장료																			
5	98	3	사마소																			
5	99	3	등애																			
5	100	3	장춘화																			
5	101	3	하후연																			
5	102	3	순유																			
5	103	3	순욱																			
5	104	1	가후																			
5	105	3	손권																			
5	106	1	손책																			
5	107	3	감녕																			
5	108	3	태사자																			
5	109	1	주유																			
5	110	3	대교																			
5	111	3	소교																			
5	112	3	여몽																			
5	113	3	손견																			
