玩家等级	主将id	主将阶级	主将等级	副将1id	副将1阶级	副将1等级	副将2id	副将2阶级	副将2等级	小兵1ID	小兵2ID	小兵3ID	小兵等级	空行
26	1	7	26	2	7	26	3	7	26	1101	2101	3101	6	
27	1	7	27	2	7	27	3	7	27	1101	2101	3101	7	
28	1	8	28	2	8	28	3	8	28	1101	2101	3101	8	
29	1	8	30	2	8	30	3	8	30	1101	2101	3101	9	
30	1	9	35	2	9	35	3	9	35	1101	2101	3101	10	
31	1	9	40	2	9	40	3	9	40	1102	2102	3102	1	
32	1	10	45	2	10	45	3	10	45	1102	2102	3102	1	
33	1	11	50	2	11	50	3	11	50	1102	2102	3102	1	
34	1	12	55	2	12	55	3	12	55	1102	2102	3102	2	
35	1	13	60	2	13	60	3	13	60	1102	2102	3102	2	
36	1	14	65	2	14	65	3	14	65	1102	2102	3102	2	
37	1	14	75	2	14	75	3	14	75	1102	2102	3102	3	
38	1	14	85	2	14	85	3	14	85	1102	2102	3102	5	
39	1	14	95	2	14	95	3	14	95	1102	2102	3102	6	
40	1	15	65	2	15	65	3	15	65	1102	2102	3102	7	
41	1	15	75	2	15	75	3	15	75	1102	2102	3102	8	
42	1	15	85	2	15	85	3	15	85	1102	2102	3102	9	
43	1	15	95	2	15	95	3	15	95	1102	2102	3102	10	
44	1	15	105	2	15	105	3	15	105	1102	2102	3102	11	
45	1	15	111	2	15	111	3	15	111	1102	2102	3102	12	
46	1	15	118	2	15	118	3	15	118	1102	2102	3102	13	
47	1	15	124	2	15	124	3	15	124	1102	2102	3102	14	
48	1	15	132	2	15	132	3	15	132	1102	2102	3102	15	
49	1	15	140	2	15	140	3	15	140	1102	2102	3102	16	
50	1	15	148	2	15	148	3	15	148	1102	2102	3102	17	
51	1	15	154	2	15	154	3	15	154	1102	2102	3102	18	
52	1	15	160	2	15	160	3	15	160	1102	2102	3102	19	
53	1	16	155	2	16	155	3	16	155	1102	2102	3102	20	
54	1	16	160	2	16	160	3	16	160	1102	2102	3102	20	
55	1	16	165	2	16	165	3	16	165	1102	2102	3102	20	
56	1	16	170	2	16	170	3	16	170	1102	2102	3102	20	
57	1	16	175	2	16	175	3	16	175	1102	2102	3102	20	
58	1	17	170	2	17	170	3	17	170	1102	2102	3102	20	
59	1	17	176	2	17	176	3	17	176	1102	2102	3102	20	
60	1	17	182	2	17	182	3	17	182	1103	1103	1103	1	
61	1	17	188	2	17	188	3	17	188	1103	1103	1103	2	
62	1	17	194	2	17	194	3	17	194	1103	1103	1103	3	
63	1	17	200	2	17	200	3	17	200	1103	1103	1103	4	
64	1	17	206	2	17	206	3	17	206	1103	1103	1103	5	
65	1	17	212	2	17	212	3	17	212	1103	1103	1103	6	
66	1	17	218	2	17	218	3	17	218	1103	1103	1103	7	
67	1	17	224	2	17	224	3	17	224	1103	1103	1103	8	
68	1	17	230	2	17	230	3	17	230	1103	1103	1103	9	
69	1	17	236	2	17	236	3	17	236	1103	1103	1103	10	
70	1	17	242	2	17	242	3	17	242	1103	1103	1103	11	
71	1	18	248	2	18	248	3	18	248	1103	1103	1103	12	
72	1	18	254	2	18	254	3	18	254	1103	1103	1103	13	
73	1	18	260	2	18	260	3	18	260	1103	1103	1103	14	
74	1	18	266	2	18	266	3	18	266	1103	1103	1103	15	
75	1	19	272	2	19	272	3	19	272	1103	1103	1103	16	
76	1	19	278	2	19	278	3	19	278	1103	1103	1103	17	
77	1	19	284	2	19	284	3	19	284	1103	1103	1103	18	
78	1	19	290	2	19	290	3	19	290	1103	1103	1103	19	
79	1	20	296	2	20	296	3	20	296	1103	1103	1103	20	
80	1	20	302	2	20	302	3	20	302	1103	1103	1103	21	
81	1	20	308	2	20	308	3	20	308	1103	1103	1103	22	
82	1	21	314	2	21	314	3	21	314	1103	1103	1103	23	
83	1	21	320	2	21	320	3	21	320	1103	1103	1103	24	
84	1	21	326	2	21	326	3	21	326	1103	1103	1103	25	
85	1	21	332	2	21	332	3	21	332	1103	1103	1103	26	
86	1	22	338	2	22	338	3	22	338	1103	1103	1103	27	
87	1	22	344	2	22	344	3	22	344	1103	1103	1103	28	
88	1	22	350	2	22	350	3	22	350	1103	1103	1103	29	
89	1	23	356	2	23	356	3	23	356	1103	1103	1103	30	
90	1	23	362	2	23	362	3	23	362	1103	1103	1103	30	
91	1	23	368	2	23	368	3	23	368	1103	1103	1103	30	
92	1	24	374	2	24	374	3	24	374	1103	1103	1103	30	
93	1	24	380	2	24	380	3	24	380	1103	1103	1103	30	
94	1	24	386	2	24	386	3	24	386	1103	1103	1103	30	
95	1	24	392	2	24	392	3	24	392	1103	1103	1103	30	
96	1	25	398	2	25	398	3	25	398	1103	1103	1103	30	
97	1	25	404	2	25	404	3	25	404	1103	1103	1103	30	
98	1	25	410	2	25	410	3	25	410	1103	1103	1103	30	
99	1	25	416	2	25	416	3	25	416	1103	1103	1103	30	
100	1	25	422	2	25	422	3	25	422	1103	1103	1103	30	
101	1	26	428	2	26	428	3	26	428	1103	1103	1103	30	
102	1	26	434	2	26	434	3	26	434	1103	1103	1103	30	
103	1	26	440	2	26	440	3	26	440	1103	1103	1103	30	
104	1	26	446	2	26	446	3	26	446	1103	1103	1103	30	
105	1	26	452	2	26	452	3	26	452	1103	1103	1103	30	
106	1	27	458	2	27	458	3	27	458	1103	1103	1103	30	
107	1	27	464	2	27	464	3	27	464	1103	1103	1103	30	
108	1	27	470	2	27	470	3	27	470	1103	1103	1103	30	
109	1	27	476	2	27	476	3	27	476	1103	1103	1103	30	
110	1	27	482	2	27	482	3	27	482	1103	1103	1103	30	
111	1	28	488	2	28	488	3	28	488	1103	1103	1103	30	
112	1	28	494	2	28	494	3	28	494	1103	1103	1103	30	
113	1	28	500	2	28	500	3	28	500	1103	1103	1103	30	
114	1	28	506	2	28	506	3	28	506	1103	1103	1103	30	
115	1	28	512	2	28	512	3	28	512	1103	1103	1103	30	
116	1	29	518	2	29	518	3	29	518	1103	1103	1103	30	
117	1	29	524	2	29	524	3	29	524	1103	1103	1103	30	
118	1	29	530	2	29	530	3	29	530	1103	1103	1103	30	
119	1	29	536	2	29	536	3	29	536	1103	1103	1103	30	
120	1	29	542	2	29	542	3	29	542	1103	1103	1103	30	
121	1	30	548	2	30	548	3	30	548	1103	1103	1103	30	
122	1	30	554	2	30	554	3	30	554	1103	1103	1103	30	
123	1	30	560	2	30	560	3	30	560	1103	1103	1103	30	
124	1	30	566	2	30	566	3	30	566	1103	1103	1103	30	
125	1	30	572	2	30	572	3	30	572	1103	1103	1103	30	
126	1	31	578	2	31	578	3	31	578	1103	1103	1103	30	
127	1	31	584	2	31	584	3	31	584	1103	1103	1103	30	
128	1	31	590	2	31	590	3	31	590	1103	1103	1103	30	
129	1	31	596	2	31	596	3	31	596	1103	1103	1103	30	
130	1	31	602	2	31	602	3	31	602	1103	1103	1103	30	
