序号	品质	道具名称	使用脚本	道具描述	icon图片ID	排序编号	合成所需碎片数量	所需钱币类型	所需钱币	所需物品id	所需物品类型	所需物品数量	空行
1	0	经验书	0	吃了可以加100点学校经验	1	3	5	2	11	1	4	1	
2	0	等级书	0	吃了可以直接加1级学校等级	1	4	6	2	12	1	4	2	
3	0	金币袋子	0	打开可以获得10个金币	1	5	7	2	13	1	4	3	
4	0	钱袋子	0	打开可以获得10个铜币	1	2	8	2	14	1	4	4	
5	0	体力大还丹	0	吃了可以加150点体力	1	6	9	2	15	1	4	5	
6	0	新手大礼包	0	每个游戏都有的垃圾道具，测试道具的时候可以随意改它	1	1	10	2	16	1	4	6	
7	0	高级召唤卷	0	可以用来进行高级抽卡	1	7	11	2	17	1	4	7	
8	0	初级召唤卷	0	可以用来进行初级抽卡	1	8	12	2	18	1	4	8	
9	0	建筑卡	0	用来建造或者升级校园建筑的道具	1	9	13	2	19	1	4	9	
10	0	装备材料包	0	开出1000个装备升级材料	1	10	14	2	20	1	4	10	
11	0	碎片包裹	0	随机开出某种碎片	1	11	15	2	21	1	4	11	
