ID	类型	数量	概率	名字	空行
145	2	1	250	战神头盔	
146	2	1	150	战神头盔+1	
147	2	1	100	战神头盔+2	
148	2	1	60	战神头盔+3	
149	2	1	40	战神头盔+4	
150	2	1	20	战神头盔+5	
151	2	1	250	麒麟铠甲	
152	2	1	150	麒麟铠甲+1	
153	2	1	100	麒麟铠甲+2	
154	2	1	60	麒麟铠甲+3	
155	2	1	40	麒麟铠甲+4	
156	2	1	20	麒麟铠甲+5	
157	2	1	250	贪狼魔刀	
158	2	1	150	贪狼魔刀+1	
159	2	1	100	贪狼魔刀+2	
160	2	1	60	贪狼魔刀+3	
161	2	1	40	贪狼魔刀+4	
162	2	1	20	贪狼魔刀+5	
163	2	1	250	紫薇护符	
164	2	1	150	紫薇护符+1	
165	2	1	100	紫薇护符+2	
166	2	1	60	紫薇护符+3	
167	2	1	40	紫薇护符+4	
168	2	1	20	紫薇护符+5	
127	2	1	10	玄武铠甲	
128	2	1	20	玄武铠甲+1	
129	2	1	30	玄武铠甲+2	
130	2	1	150	玄武铠甲+3	
131	2	1	250	玄武铠甲+4	
132	2	1	200	玄武铠甲+5	
133	2	1	10	朱雀头盔	
134	2	1	20	朱雀头盔+1	
135	2	1	30	朱雀头盔+2	
136	2	1	150	朱雀头盔+3	
137	2	1	250	朱雀头盔+4	
138	2	1	200	朱雀头盔+5	
139	2	1	10	麒麟项链	
140	2	1	20	麒麟项链+1	
141	2	1	30	麒麟项链+2	
142	2	1	150	麒麟项链+3	
143	2	1	250	麒麟项链+4	
144	2	1	200	麒麟项链+5	
55	2	1	10	倚天剑	
56	2	1	20	倚天剑+1	
57	2	1	30	倚天剑+2	
58	2	1	150	倚天剑+3	
59	2	1	250	倚天剑+4	
60	2	1	200	倚天剑+5	
61	2	1	10	古锭刀	
62	2	1	20	古锭刀+1	
63	2	1	30	古锭刀+2	
64	2	1	150	古锭刀+3	
65	2	1	250	古锭刀+4	
66	2	1	200	古锭刀+5	
67	2	1	10	月牙戟	
68	2	1	20	月牙戟+1	
69	2	1	30	月牙戟+2	
70	2	1	150	月牙戟+3	
71	2	1	250	月牙戟+4	
72	2	1	200	月牙戟+5	
