小关卡id	小关卡标题	小关卡对话	每日最多	前置完成关卡	等级限制	每次扣除体力	武魂	铜钱奖励	未过回复次数	奖励道具	士兵分布图	主将ID	主将等级	主将阶级	副将1ID	副将1等级	副将1阶级	副将2ID	副将2等级	副将2阶级	步兵1ID	步兵1等级	骑兵2ID	骑兵2等级	弓兵3ID	弓兵3等级	士兵数量等级	特殊增益比例	精英副本增益比例	未过返还体力	主角经验Exp	公会掉落	空行
1	제1관	1	99	0	1,999	5	20	100	1	29,4,1,50,1,43,4,1,35,1,14,1,1,100,2,45,5,1,25,2,36,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	01-01.tmx	10001	4	1	11001	4	1		4	1	1101	1	2101	1	3101	1	1	0	0.3	5	200		
2	제2관	2	99	1,1	1,999	5	20	110	1	2,1,1,100,1,28,4,1,50,1,43,4,1,35,1,15,1,1,100,2,45,5,1,25,2,36,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	01-02.tmx	10002	5	1	11002	5	1		5	1	1101	1	2101	1	3101	1	1	0	0.3	5	260		
3	제3관	3	99	1,2	1,999	5	20	120	1	3,1,1,100,1,12,4,1,50,1,43,4,1,35,1,16,1,1,100,2,45,5,1,25,2,36,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	01-03.tmx	10003	6	1	11003	6	1		6	1	1101	1	2101	1	3101	1	1	0	0.3	5	280		
4	제4관	0	99	1,3	1,999	5	20	130	1	4,1,1,100,1,17,1,1,80,1,29,4,1,50,1,43,4,1,35,1,17,1,1,100,2,45,5,1,25,2,36,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	01-04.tmx	10004	7	1	11004	7	1		7	1	1101	1	2101	1	3101	1	1	0	0.3	5	300		
5	제5관	5	99	1,4	1,999	5	20	140	1	5,1,1,100,1,18,1,1,80,1,28,4,1,50,1,43,4,1,35,1,18,1,1,100,2,45,5,1,25,2,36,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	01-05.tmx	10005	11	1	11005	11	1		11	1	1101	1	2101	1	3101	1	1	0	0.3	5	500		
6	제6관	6	99	1,5	1,999	5	20	150	1	6,1,1,100,1,19,1,1,80,1,12,4,1,50,1,43,4,1,35,1,19,1,1,100,2,45,5,1,25,2,36,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	01-06.tmx	10006	19	1	11006	19	1		19	1	1101	1	2101	1	3101	1	1	0	0.3	5	350		
7	제7관	7	99	1,6	1,999	5	20	160	1	7,1,1,100,1,20,1,1,80,1,29,4,1,50,1,43,4,1,35,1,20,1,1,100,2,45,5,1,25,2,36,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	01-07.tmx	10007	26	1	11007	26	1		26	1	1101	1	2101	1	3101	1	1	0	0.3	5	360		
8	제8관	0	99	1,7	1,999	5	20	170	1	8,1,1,100,1,21,1,1,80,1,28,4,1,50,1,43,4,1,35,1,21,1,1,100,2,45,5,1,25,2,36,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	01-08.tmx	10008	41	1	11008	41	1		41	1	1101	1	2101	1	3101	1	1	0	0.3	5	380		
9	제9관	8	99	1,8	1,999	5	20	180	1	9,1,1,100,1,22,1,1,80,1,12,4,1,50,1,43,4,1,35,1,22,1,1,100,2,45,5,1,25,2,36,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	01-09.tmx	10009	30	1	11009	30	1		30	1	1101	1	2101	1	3101	1	1	0	0.3	5	400		
10	제10관	9,10	99	1,9	1,999	5	20	190	1	10,1,1,100,1,23,1,1,80,1,29,4,1,50,1,43,4,1,35,1,23,1,1,100,2,45,5,1,25,2,36,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	01-10.tmx	10010	20	2	11010	20	2	12010	20	2	1101	1	2101	1	3101	1	1	0	0.3	5	600		
