ID	缘分武将1ID	缘分名字	缘分效果	缘分武将2ID	缘分名字	缘分效果	缘分1效率类型	缘分1效果值	缘分2效率类型	缘分2效果值	空行											
40001	96	신야연소	하후돈 편장 시， 생명+26%	79	용쟁호담	제갈량 편장 시， 공격+31%	1	0.26	2	0.31												
40002	86	무쌍양자	여포 편장 시， 생명+28%	51	상호대립	원소 편장 시， 생명+15%	2	0.28	1	0.15												
40003	75	전신무성	관우 편장 시， 생명+28%	97	수하구신	장료 편장 시， 공격+29%	2	0.28	2	0.29												
40004	85	미인간계	동탁 편장 시， 마법+17%	86	영웅미인	여포 편장 시， 생명+28%	3	0.17	1	0.28												
40005	105	나의장료	손권 편장 시， 생명+18%	112	동오이호	여몽 편장 시， 공격+25%	1	0.18	2	0.25												
40006	111	절세미인	소교 편장 시， 생명+23%	106	지용쌍전	손책 편장 시， 마법+30%	1	0.23	3	0.3												
40007	80	걸출사위	손상향 편장 시， 생명+20%	79	삼고초려	제갈량 편장 시， 생명+30%	1	0.2	1	0.3												
40008	97	성성상석	장료 편장 시， 공격+28%	91	괄골요상	화타 편장 시， 생명+28%	2	0.28	1	0.28												
40009	75	형제정심	관우 편장 시， 공격+30%	74	도원결의	유비 편장 시， 공격+25%	2	0.3	2	0.25												
40010	93	부형복수	조조 편장 시， 공격+22%	76	철야작전	장비 편장 시， 생명+26%	2	0.22	1	0.26												
40011	83	와룡봉추	방통 편장 시， 마법+27%	109	각위기주	주유 편장 시， 마법+30%	3	0.27	3	0.3												
40012	79	목마유정	제갈량 편장 시， 마법+15%	82	선과하범	제갈과 편장 시， 생명+15%	3	0.15	1	0.15												
40013	105	향향군주	손권 편장 시， 마법+17%	74	부부의연	유비 편장 시， 생명+18%	3	0.17	1	0.18												
40014	75	청룡전승	관우 편장 시， 공격+23%	47	관씨자제	관색 편장 시， 생명+15%	2	0.23	1	0.15												
40015	108	계승유지	태사자 편장 시， 마법+23%	99	음평밀항	등애 편장 시， 생명+21%	3	0.23	1	0.21												
40016	81	유용유모	강유 편장 시， 공격+19%	83	기습서천	방통 편장 시， 생명+21%	2	0.19	1	0.21												
40017	44	의형재상	관흥 편장 시， 생명+15%	76	장문후예	장비 편장 시， 공격+22%	1	0.15	2	0.22												
40018	74	웅재위략	유비 편장 시， 생명+18%	101	계참하후	하후연 편장 시， 마법+17%	1	0.18	3	0.17												
40019	79	장녀신선	제갈량 편장 시， 마법+28%	72	제갈세가	제갈근 편장 시， 생명+19%	3	0.28	1	0.19												
40020	93	철삭연환	조조 편장 시， 생명+19%	74	국궁진췌	유비 편장 시， 마법+21%	1	0.19	3	0.21												
40021	49	염파기풍	엄안 편장 시， 생명+21%	77	오호상장	마초 편장 시， 공격+25%	1	0.21	2	0.25												
40022	40	대형품격	관평 편장 시， 생명+15%	47	형제단금	관색 편장 시， 생명+15%	1	0.15	1	0.15												
40023	47	연리원앙	관색 편장 시， 마법+15%	50	남중주둔	맹획 편장 시， 공격+18%	3	0.15	2	0.18												
40024	75	무성근위	관우 편장 시， 공격+21%	40	친여형제	관평 편장 시， 생명+15%	2	0.21	1	0.15												
40025	75	일기성부	관우 편장 시， 공격+23%	45	미인재회	포삼낭 편장 시， 생명+17%	2	0.23	1	0.17												
40026	76	연혼결혼	장비 편장 시， 공격+21%	101	신사부자	하후연 편장 시， 생명+24%	2	0.21	1	0.24												
40027	84	노장입공	황충 편장 시， 생명+19%	76	의사지은	장비 편장 시， 공격+27%	1	0.19	2	0.27												
40028	85	난세마왕	동탁 편장 시， 마법+23%	91	의도상좌	화타 편장 시， 생명+30%	3	0.23	1	0.3												
