ID	类型	数量	概率	名字	空行																	
114	5	1	1	초선(환)																		
115	5	1	1	축융(환)																		
116	5	1	1	소교(환)																		
117	5	1	1	장비(환)																		
118	5	1	1	손상향(환)																		
119	5	1	1	유비(환)																		
120	5	1	1	제갈량(환)																		
121	5	1	1	여령기(환)																		
122	5	1	1	하후돈(환)																		
123	5	1	1	견희(환)																		
124	5	1	1	채문희(환)																		
125	5	1	1	주유(환)																		
126	5	1	1	장료(환)																		
127	5	1	1	관우(환)																		
128	5	1	1	조조(환)																		
129	5	1	1	조운(환)																		
130	5	1	1	여포(환)																		
131	5	1	1	손권(환)																		
132	5	1	1	육손(현)																		
133	5	1	1	정봉(현)																		
134	5	1	1	곽가(현)																		
135	5	1	1	조인(현)																		
136	5	1	1	우길(현)																		
137	5	1	1	좌자(현)																		
138	5	1	1	관은병(현)																		
139	5	1	1	황월영(현)																		
