品质	ID	概率	姓名	空行																		
1	1	16	용사교위																			
1	2	7	도위																			
1	3	7	금위군																			
1	4	7	호위병																			
1	5	7	병조																			
1	6	7	감군																			
1	7	7	호군																			
1	8	7	독군																			
1	9	7	주작사																			
1	10	7	호군교관																			
1	11	7	요희																			
1	12	7	현승																			
1	13	7	군사																			
2	14	2	전군교위																			
2	15	2	사성교위																			
2	16	6	용위기																			
2	17	6	철낭자																			
2	18	6	검호																			
2	19	6	평아																			
2	20	6	나찰녀																			
2	21	6	영군교관																			
2	22	6	금위군교관																			
2	23	6	금도위																			
2	24	6	중서승																			
2	25	6	현위																			
2	26	6	신술사																			
2	27	6	귀도사																			
2	28	6	성도사																			
2	29	6	빈기																			
2	30	6	애첩																			
2	31	6	의사																			
3	32	9	황보숭																			
3	33	13	유장																			
3	34	13	장수																			
3	35	13	조절																			
3	36	13	정보																			
3	37	13	손로반																			
3	38	13	주연																			
3	39	13	능조																			
4	40	4	관평																			
4	41	2	위연																			
4	42	4	장포																			
4	43	1	법정																			
4	44	5	관흥																			
4	45	5	포삼낭																			
4	46	2	주창																			
4	47	4	관색																			
4	48	4	하후패																			
4	49	4	엄안																			
4	50	5	맹획																			
4	51	5	원소																			
4	52	2	화웅																			
4	53	2	안량																			
4	54	2	문추																			
4	55	2	진궁																			
4	56	5	공손찬																			
4	57	2	고순																			
4	58	2	이유																			
4	59	5	장임																			
4	60	1	전위																			
4	61	1	허저																			
4	62	5	조창																			
4	63	1	방덕																			
4	64	2	장합																			
4	65	2	서황																			
4	66	2	우금																			
4	67	3	주태																			
4	68	3	능통																			
4	69	2	황개																			
4	70	2	노숙																			
4	71	2	우번																			
4	72	2	제갈근																			
4	73	5	반장																			
5	74	3	유비																			
5	76	3	장비																			
5	77	2	마초																			
5	80	4	손상향																			
5	81	3	강유																			
5	82	3	제갈과																			
5	83	2	방통																			
5	85	4	동탁																			
5	87	3	초선																			
5	89	3	채문희																			
5	90	1	여령기																			
5	91	2	화타																			
5	92	3	축융																			
5	93	3	조조																			
5	95	3	견희																			
5	96	3	하후돈																			
5	98	3	사마소																			
5	99	3	등애																			
5	100	4	장춘화																			
5	101	4	하후연																			
5	102	4	순유																			
5	103	4	순욱																			
5	105	4	손권																			
5	107	2	감녕																			
5	108	2	태사자																			
5	110	4	대교																			
5	111	4	소교																			
5	112	2	여몽																			
5	113	4	손견																			
5	75	1	관우																			
5	78	1	조운																			
5	79	1	제갈량																			
5	84	1	황충																			
5	86	1	여포																			
5	88	1	장각																			
5	94	1	사마의																			
5	97	1	장료																			
5	104	1	가후																			
5	106	1	손책																			
5	109	1	주유																			
