品质	ID	概率	姓名	空行																		
3	32	0	황보숭																			
3	33	0	유장																			
3	34	0	장수																			
3	35	0	조절																			
3	36	0	정보																			
3	37	0	손로반																			
3	38	0	주연																			
3	39	0	능조																			
4	40	4	관평																			
4	41	2	위연																			
4	42	4	장포																			
4	43	1	법정																			
4	44	5	관흥																			
4	45	5	포삼낭																			
4	46	2	주창																			
4	47	4	관색																			
4	48	4	하후패																			
4	49	4	엄안																			
4	50	5	맹획																			
4	51	5	원소																			
4	52	2	화웅																			
4	53	2	안량																			
4	54	2	문추																			
4	55	2	진궁																			
4	56	5	공손찬																			
4	57	2	고순																			
4	58	2	이유																			
4	59	5	장임																			
4	60	1	전위																			
4	61	1	허저																			
4	62	5	조창																			
4	63	1	방덕																			
4	64	2	장합																			
4	65	2	서황																			
4	66	2	우금																			
4	67	3	주태																			
4	68	3	능통																			
4	69	2	황개																			
4	70	2	노숙																			
4	71	2	우번																			
4	72	2	제갈근																			
4	73	5	반장																			
5	74	3	유비																			
5	76	3	장비																			
5	77	2	마초																			
5	80	4	손상향																			
5	81	3	강유																			
5	82	3	제갈과																			
5	83	2	방통																			
5	85	4	동탁																			
5	87	3	초선																			
5	89	3	채문희																			
5	90	1	여령기																			
5	91	2	화타																			
5	92	3	축융																			
5	93	3	조조																			
5	95	3	견희																			
5	96	3	하후돈																			
5	98	3	사마소																			
5	99	3	등애																			
5	100	4	장춘화																			
5	101	4	하후연																			
5	102	4	순유																			
5	103	4	순욱																			
5	105	4	손권																			
5	107	2	감녕																			
5	108	2	태사자																			
5	110	4	대교																			
5	111	4	소교																			
5	112	2	여몽																			
5	113	4	손견																			
5	75	1	관우																			
5	78	1	조운																			
5	79	1	제갈량																			
5	84	1	황충																			
5	86	1	여포																			
5	88	1	장각																			
5	94	1	사마의																			
5	97	1	장료																			
5	104	1	가후																			
5	106	1	손책																			
5	109	1	주유																			
6	126	25	장료(환)																			
6	128	25	조조(환)																			
6	123	25	견희(환)																			
6	122	25	하후돈(환)																			
