ID	类型	数量	概率	货币类型	价格	名字	空列															
74	5	5	160	3	950	유비																
76	5	3	160	3	750	장비																
77	5	2	160	3	550	마초																
78	5	2	75	3	750	조운																
79	5	2	75	3	750	제갈량																
80	5	5	150	3	950	손상향																
81	5	3	75	3	750	강유																
82	5	3	160	3	750	제갈과																
83	5	3	75	3	750	방통																
85	5	5	150	3	950	동탁																
87	5	3	150	3	750	초선																
89	5	5	75	3	950	채문희																
90	5	2	75	3	750	여령기																
91	5	3	150	3	750	화타																
92	5	5	150	3	950	축융																
93	5	3	150	3	750	조조																
95	5	5	150	3	950	견희																
96	5	3	75	3	750	하후돈																
97	5	2	75	3	750	장료																
98	5	3	150	3	750	사마소																
99	5	5	150	3	950	등애																
100	5	5	150	3	950	장춘화																
101	5	3	150	3	750	하후연																
102	5	5	150	3	950	순유																
103	5	5	150	3	950	순욱																
105	5	5	150	3	950	손권																
106	5	2	75	3	750	손책																
107	5	3	104	3	750	감녕																
108	5	3	150	3	750	태사자																
110	5	5	150	3	950	대교																
111	5	5	150	3	950	소교																
112	5	3	150	3	750	여몽																
113	5	5	150	3	950	손견																
84	5	5	150	3	950	황충																
23	4	1	100	3	800	쌍인도끼																
24	4	1	100	3	800	오금연갑																
26	4	1	100	3	800	호아수환																
15	4	1	100	3	800	청룡도																
17	4	1	100	3	800	금사철갑																
18	4	1	100	3	800	용문반지																
20	4	1	100	3	800	연우청삼																
21	4	1	100	3	800	유엽신발																
22	4	1	100	3	800	청피장식																
-5	4	500	100	3	3500	무혼																
-5	4	1000	50	3	7000	무혼																
-5	4	2000	20	3	14000	무혼																
-5	4	3000	10	3	21000	무혼																
34	4	1	30	1	1888	개명권																
35	4	1	50	1	100	확성기																
37	4	1	200	1	50	파란색상자																
37	4	2	100	1	100	파란색상자																
37	4	5	20	1	250	파란색상자																
38	4	1	100	1	168	보라색상자																
38	4	2	25	1	336	보라색상자																
38	4	3	10	1	504	보라색상자																
43	4	5	300	2	25000	소탕패																
43	4	10	150	2	50000	소탕패																
43	4	20	50	2	100000	소탕패																
4	4	1	300	3	120	부적																
4	4	2	100	3	240	부적																
4	4	3	60	3	360	부적																
4	4	4	40	3	480	부적																
4	4	5	25	3	600	부적																
70	4	1	500	1	600	1급 강화단																
74	1	1	50	3	8888	유비																
76	1	1	50	3	11888	장비																
77	1	1	40	3	12888	마초																
78	1	1	20	3	16888	조운																
79	1	1	20	3	16888	제갈량																
80	1	1	50	3	8888	손상향																
81	1	1	20	3	11888	강유																
82	1	1	40	3	11888	제갈과																
83	1	1	40	3	11888	방통																
85	1	1	60	3	8888	동탁																
87	1	1	30	3	11888	초선																
89	1	1	30	3	8888	채문희																
90	1	1	20	3	16888	여령기																
91	1	1	30	3	11888	화타																
92	1	1	30	3	8888	축융																
93	1	1	30	3	11888	조조																
95	1	1	30	3	8888	견희																
96	1	1	50	3	11888	하후돈																
97	1	1	20	3	16888	장료																
98	1	1	30	3	8888	사마소																
99	1	1	50	3	8888	등애																
100	1	1	30	3	8888	장춘화																
101	1	1	30	3	11888	하후연																
102	1	1	50	3	8888	순유																
103	1	1	50	3	8888	순욱																
105	1	1	50	3	8888	손권																
106	1	1	20	3	16888	손책																
107	1	1	30	3	11888	감녕																
108	1	1	40	3	11888	태사자																
110	1	1	50	3	8888	대교																
111	1	1	50	3	8888	소교																
112	1	1	50	3	11888	여몽																
113	1	1	60	3	8888	손견																
40	1	1	50	3	1200	관평																
41	1	1	50	3	1500	위연																
42	1	1	50	3	1200	장포																
43	1	1	50	3	1800	법정																
44	1	1	50	3	1300	관흥																
45	1	1	50	3	250	포삼낭																
46	1	1	50	3	1200	주창																
47	1	1	50	3	250	관색																
48	1	1	50	3	1300	하후패																
49	1	1	50	3	1500	엄안																
50	1	1	50	3	1300	맹획																
51	1	1	50	3	1200	원소																
52	1	1	50	3	1800	화웅																
53	1	1	50	3	1600	안량																
54	1	1	50	3	1600	문추																
55	1	1	50	3	250	진궁																
56	1	1	50	3	1300	공손찬																
57	1	1	50	3	250	고순																
58	1	1	50	3	1200	이유																
59	1	1	50	3	1300	장임																
60	1	1	50	3	1800	전위																
61	1	1	50	3	1800	허저																
62	1	1	50	3	250	조창																
63	1	1	50	3	1800	방덕																
64	1	1	50	3	1800	장합																
65	1	1	50	3	1600	서황																
66	1	1	50	3	1600	우금																
67	1	1	50	3	1700	주태																
68	1	1	50	3	1500	능통																
69	1	1	50	3	1500	황개																
70	1	1	50	3	1800	노숙																
71	1	1	50	3	1300	우번																
72	1	1	50	3	1800	제갈근																
73	1	1	50	3	1300	반장																
84	1	1	50	3	8888	황충																
46	4	1	50	2	6666666	주황색상자																
