ID	类型	数量	价格	名字	空行																	
104	5	1	300	가후																		
94	5	1	300	사마의																		
109	5	1	300	주유																		
75	5	1	300	관우																		
88	5	1	300	장각																		
86	5	1	500	여포																		
78	5	1	450	조운																		
38	4	1	988	紫色宝箱																		
4	4	1	80	符印																		
44	4	1	20	갱신패																		
9	4	1	40	열염창																		
10	4	1	40	적피갑주																		
11	4	1	40	낭아수환																		
6	4	1	40	환수빙인																		
7	4	1	40	빙천피갑																		
8	4	1	40	현빙반지																		
13	4	1	40	호피옷																		
14	4	1	40	벽문두대																		
27	4	1	40	답연신발																		
23	4	1	700	쌍인도끼																		
24	4	1	700	오금연갑																		
26	4	1	700	호아수환																		
15	4	1	700	청룡도																		
17	4	1	700	금사철갑																		
18	4	1	700	용문반지																		
20	4	1	700	연우청삼																		
21	4	1	700	유엽신발																		
22	4	1	700	청피장식																		
