ID	类型	数量	概率	货币类型	价格	名字	空列
114	1	1	50	3	58000	貂蝉(幻)	
115	1	1	50	3	58000	祝融(幻)	
116	1	1	50	3	63000	小乔(幻)	
117	1	1	50	3	58000	张飞(幻)	
118	1	1	50	3	63000	孙尚香(幻)	
119	1	1	50	3	58000	刘备(幻)	
120	1	1	10	3	68000	诸葛亮(幻)	
121	1	1	50	3	63000	吕玲绮(幻)	
122	1	1	50	3	58000	夏侯惇(幻)	
123	1	1	50	3	63000	甄姬(幻)	
124	1	1	50	3	58000	蔡文姬(幻)	
125	1	1	10	3	75000	周瑜(幻)	
126	1	1	30	3	63000	张辽(幻)	
127	1	1	30	3	63000	关羽(幻)	
128	1	1	50	3	58000	曹操(幻)	
129	1	1	10	3	68000	赵云(幻)	
130	1	1	10	3	78000	吕布(幻)	
131	1	1	50	3	58000	孙权(幻)	
132	1	1	30	3	78000	陆逊(现)	
133	1	1	30	3	68000	丁奉(现)	
134	1	1	20	3	78000	郭嘉(现)	
135	1	1	20	3	75000	曹仁(现)	
136	1	1	10	3	88000	于吉(现)	
137	1	1	30	3	78000	左慈(现)	
138	1	1	50	3	63000	关银屏(现)	
139	1	1	50	3	75000	黄月英(现)	
