ID	类型	数量	概率	货币类型	价格	名字	空列
74	5	5	160	3	950	刘备	
76	5	3	160	3	750	张飞	
77	5	2	160	3	550	马超	
78	5	2	75	3	750	赵云	
79	5	2	75	3	750	诸葛亮	
80	5	5	150	3	950	孙尚香	
81	5	3	75	3	750	姜维	
82	5	3	160	3	750	诸葛果	
83	5	3	75	3	750	庞统	
85	5	5	150	3	950	董卓	
87	5	3	150	3	750	貂蝉	
89	5	5	75	3	950	蔡文姬	
90	5	2	75	3	750	吕玲绮	
91	5	3	150	3	750	华佗	
92	5	5	150	3	950	祝融	
93	5	3	150	3	750	曹操	
95	5	5	150	3	950	甄姬	
96	5	3	75	3	750	夏侯惇	
97	5	2	75	3	750	张辽	
98	5	3	150	3	750	司马昭	
99	5	5	150	3	950	邓艾	
100	5	5	150	3	950	张春华	
101	5	3	150	3	750	夏侯渊	
102	5	5	150	3	950	荀攸	
103	5	5	150	3	950	荀彧	
105	5	5	150	3	950	孙权	
106	5	2	75	3	750	孙策	
107	5	3	104	3	750	甘宁	
108	5	3	150	3	750	太史慈	
110	5	5	150	3	950	大乔	
111	5	5	150	3	950	小乔	
112	5	3	150	3	750	吕蒙	
113	5	5	150	3	950	孙坚	
23	4	1	100	3	800	双刃鬼斧	
24	4	1	100	3	800	乌金软甲	
26	4	1	100	3	800	虎牙兽环	
15	4	1	100	3	800	青龙刀	
17	4	1	100	3	800	金丝铁甲	
18	4	1	100	3	800	龙纹指环	
20	4	1	100	3	800	燕羽青衫	
21	4	1	100	3	800	柳叶鞋	
22	4	1	100	3	800	青皮头饰	
-5	4	500	200	3	3500	武魂	
-5	4	1000	100	3	7000	武魂	
-5	4	2000	50	3	14000	武魂	
-5	4	3000	50	3	21000	武魂	
34	4	1	30	1	1888	改名卡	
35	4	1	50	1	100	小喇叭	
37	4	1	200	1	50	蓝宝箱	
37	4	2	100	1	100	蓝宝箱	
37	4	5	20	1	250	蓝宝箱	
38	4	1	100	1	168	紫宝箱	
38	4	2	25	1	336	紫宝箱	
38	4	3	10	1	504	紫宝箱	
43	4	5	300	2	25000	扫荡令	
43	4	10	150	2	50000	扫荡令	
43	4	20	50	2	100000	扫荡令	
4	4	1	300	3	120	印符	
4	4	2	100	3	240	印符	
4	4	3	60	3	360	印符	
4	4	4	40	3	480	印符	
4	4	5	25	3	600	印符	
70	4	1	500	1	600	1级经验转化丹	
71	4	1	300	1	1500	2级经验转化丹	
72	4	1	200	1	2500	3级经验转化丹	
74	1	1	50	3	8888	刘备	
76	1	1	50	3	11888	张飞	
77	1	1	40	3	12888	马超	
78	1	1	20	3	16888	赵云	
79	1	1	20	3	16888	诸葛亮	
80	1	1	50	3	8888	孙尚香	
81	1	1	20	3	11888	姜维	
82	1	1	40	3	11888	诸葛果	
83	1	1	40	3	11888	庞统	
85	1	1	60	3	8888	董卓	
87	1	1	30	3	11888	貂蝉	
89	1	1	30	3	8888	蔡文姬	
90	1	1	20	3	16888	吕玲绮	
91	1	1	30	3	11888	华佗	
92	1	1	30	3	8888	祝融	
93	1	1	30	3	11888	曹操	
95	1	1	30	3	8888	甄姬	
96	1	1	50	3	11888	夏侯惇	
97	1	1	20	3	16888	张辽	
98	1	1	30	3	8888	司马昭	
99	1	1	50	3	8888	邓艾	
100	1	1	30	3	8888	张春华	
101	1	1	30	3	11888	夏侯渊	
102	1	1	50	3	8888	荀攸	
103	1	1	50	3	8888	荀彧	
105	1	1	50	3	8888	孙权	
106	1	1	20	3	16888	孙策	
107	1	1	30	3	11888	甘宁	
108	1	1	40	3	11888	太史慈	
110	1	1	50	3	8888	大乔	
111	1	1	50	3	8888	小乔	
112	1	1	50	3	11888	吕蒙	
113	1	1	60	3	8888	孙坚	
40	1	1	50	3	1200	关平	
41	1	1	50	3	1500	魏延	
42	1	1	50	3	1200	张苞	
43	1	1	50	3	1800	法正	
44	1	1	50	3	1300	关兴	
45	1	1	50	3	250	鲍三娘	
46	1	1	50	3	1200	周仓	
47	1	1	50	3	250	关索	
48	1	1	50	3	1300	夏侯霸	
49	1	1	50	3	1500	严颜	
50	1	1	50	3	1300	孟获	
51	1	1	50	3	1200	袁绍	
52	1	1	50	3	1800	华雄	
53	1	1	50	3	1600	颜良	
54	1	1	50	3	1600	文丑	
55	1	1	50	3	250	陈宫	
56	1	1	50	3	1300	公孙瓒	
57	1	1	50	3	250	高顺	
58	1	1	50	3	1200	李儒	
59	1	1	50	3	1300	张任	
60	1	1	50	3	1800	典韦	
61	1	1	50	3	1800	许褚	
62	1	1	50	3	250	曹彰	
63	1	1	50	3	1800	庞德	
64	1	1	50	3	1800	张郃	
65	1	1	50	3	1600	徐晃	
66	1	1	50	3	1600	于禁	
67	1	1	50	3	1700	周泰	
68	1	1	50	3	1500	凌统	
69	1	1	50	3	1500	黄盖	
70	1	1	50	3	1800	鲁肃	
71	1	1	50	3	1300	虞翻	
72	1	1	50	3	1800	诸葛瑾	
73	1	1	50	3	1300	潘璋	
46	4	1	50	2	6666666	橙宝箱	
120	1	1	300	3	68000	诸葛亮(幻)	
46	4	1	300	1	1988	橙宝箱	
130	1	1	200	3	78000	吕布(幻)	
84	5	5	150	3	950	黄忠	
84	1	1	50	3	8888	黄忠	
