序号,动画名称,动画资源路径,精灵帧路径,空行
1,bagua_plist,cs/animaRes/skillAnimas/bagua.plist,cs/animaRes/skillAnimas/bagua_Res.plist,
2,baohua_plist,cs/animaRes/skillAnimas/baohua.plist,cs/animaRes/skillAnimas/baohua_Res.plist,
3,baoza_plist,cs/animaRes/skillAnimas/baoza.plist,cs/animaRes/skillAnimas/baoza_Res.plist,
4,bingdiao_plist,cs/animaRes/skillAnimas/bingdiao.plist,cs/animaRes/skillAnimas/bingdiao_Res.plist,
5,bingjian_plist,cs/animaRes/skillAnimas/bingjian.plist,cs/animaRes/skillAnimas/bingjian_Res.plist,
6,bingsha_plist,cs/animaRes/skillAnimas/bingsha.plist,cs/animaRes/skillAnimas/bingsha_Res.plist,
7,bingzha_plist,cs/animaRes/skillAnimas/bingzha.plist,cs/animaRes/skillAnimas/bingzha_Res.plist,
8,chuansuo_plist,cs/animaRes/skillAnimas/chuansuo.plist,cs/animaRes/skillAnimas/chuansuo_Res.plist,
9,dahuo_plist,cs/animaRes/skillAnimas/dahuo.plist,cs/animaRes/skillAnimas/dahuo_Res.plist,
10,daoguang_plist,cs/animaRes/skillAnimas/daoguang.plist,cs/animaRes/skillAnimas/daoguang_Res.plist,
11,denglong_plist,cs/animaRes/skillAnimas/denglong.plist,cs/animaRes/skillAnimas/denglong_Res.plist,
12,duqi_plist,cs/animaRes/skillAnimas/duqi.plist,cs/animaRes/skillAnimas/duqi_Res.plist,
13,fanxing_plist,cs/animaRes/skillAnimas/fanxing.plist,cs/animaRes/skillAnimas/fanxing_Res.plist,
14,feichong_plist,cs/animaRes/skillAnimas/feichong.plist,cs/animaRes/skillAnimas/feichong_Res.plist,
15,feishi_plist,cs/animaRes/skillAnimas/feishi.plist,cs/animaRes/skillAnimas/feishi_Res.plist,
16,feitian_plist,cs/animaRes/skillAnimas/feitian.plist,cs/animaRes/skillAnimas/feitian_Res.plist,
17,fengyan_plist,cs/animaRes/skillAnimas/fengyan.plist,cs/animaRes/skillAnimas/fengyan_Res.plist,
18,fenquan_plist,cs/animaRes/skillAnimas/fenquan.plist,cs/animaRes/skillAnimas/fenquan_Res.plist,
19,fenying_plist,cs/animaRes/skillAnimas/fenying.plist,cs/animaRes/skillAnimas/fenying_Res.plist,
20,fuguang_plist,cs/animaRes/skillAnimas/fuguang.plist,cs/animaRes/skillAnimas/fuguang_Res.plist,
21,gaoji_plist,cs/animaRes/skillAnimas/gaoji.plist,cs/animaRes/skillAnimas/gaoji_Res.plist,
22,guanghui_plist,cs/animaRes/skillAnimas/guanghui.plist,cs/animaRes/skillAnimas/guanghui_Res.plist,
23,guangjian_plist,cs/animaRes/skillAnimas/guangjian.plist,cs/animaRes/skillAnimas/guangjian_Res.plist,
24,guangxian_plist,cs/animaRes/skillAnimas/guangxian.plist,cs/animaRes/skillAnimas/guangxian_Res.plist,
25,hongguang_plist,cs/animaRes/skillAnimas/hongguang.plist,cs/animaRes/skillAnimas/hongguang_Res.plist,
26,hongyi_plist,cs/animaRes/skillAnimas/hongyi.plist,cs/animaRes/skillAnimas/hongyi_Res.plist,
27,huangbao_plist,cs/animaRes/skillAnimas/huangbao.plist,cs/animaRes/skillAnimas/huangbao_Res.plist,
28,huangguan_plist,cs/animaRes/skillAnimas/huangguan.plist,cs/animaRes/skillAnimas/huangguan_Res.plist,
29,huangguang_plist,cs/animaRes/skillAnimas/huangguang.plist,cs/animaRes/skillAnimas/huangguang_Res.plist,
30,huangquan_plist,cs/animaRes/skillAnimas/huangquan.plist,cs/animaRes/skillAnimas/huangquan_Res.plist,
31,huangxing_plist,cs/animaRes/skillAnimas/huangxing.plist,cs/animaRes/skillAnimas/huangxing_Res.plist,
32,huangzi_plist,cs/animaRes/skillAnimas/huangzi.plist,cs/animaRes/skillAnimas/huangzi_Res.plist,
33,huanjin_plist,cs/animaRes/skillAnimas/huanjin.plist,cs/animaRes/skillAnimas/huanjin_Res.plist,
34,hudun_plist,cs/animaRes/skillAnimas/hudun.plist,cs/animaRes/skillAnimas/hudun_Res.plist,
35,huolong_plist,cs/animaRes/skillAnimas/huolong.plist,cs/animaRes/skillAnimas/huolong_Res.plist,
36,huoyan_plist,cs/animaRes/skillAnimas/huoyan.plist,cs/animaRes/skillAnimas/huoyan_Res.plist,
37,huoyu_plist,cs/animaRes/skillAnimas/huoyu.plist,cs/animaRes/skillAnimas/huoyu_Res.plist,
38,jiagongqiu_plist,cs/animaRes/skillAnimas/jiagongqiu.plist,cs/animaRes/skillAnimas/jiagongqiu_Res.plist,
39,jianshu_plist,cs/animaRes/skillAnimas/jianshu.plist,cs/animaRes/skillAnimas/jianshu_Res.plist,
40,jingshi_plist,cs/animaRes/skillAnimas/jingshi.plist,cs/animaRes/skillAnimas/jingshi_Res.plist,
41,juaqian_plist,cs/animaRes/skillAnimas/juaqian.plist,cs/animaRes/skillAnimas/juaqian_Res.plist,
42,lanhui_plist,cs/animaRes/skillAnimas/lanhui.plist,cs/animaRes/skillAnimas/lanhui_Res.plist,
43,lanyan_plist,cs/animaRes/skillAnimas/lanyan.plist,cs/animaRes/skillAnimas/lanyan_Res.plist,
44,lanyi_plist,cs/animaRes/skillAnimas/lanyi.plist,cs/animaRes/skillAnimas/lanyi_Res.plist,
45,liqi_plist,cs/animaRes/skillAnimas/liqi.plist,cs/animaRes/skillAnimas/liqi_Res.plist,
46,liuxing_plist,cs/animaRes/skillAnimas/liuxing.plist,cs/animaRes/skillAnimas/liuxing_Res.plist,
47,luguang_plist,cs/animaRes/skillAnimas/luguang.plist,cs/animaRes/skillAnimas/luguang_Res.plist,
48,luosha_plist,cs/animaRes/skillAnimas/luosha.plist,cs/animaRes/skillAnimas/luosha_Res.plist,
49,maoyan_plist,cs/animaRes/skillAnimas/maoyan.plist,cs/animaRes/skillAnimas/maoyan_Res.plist,
50,moyun_plist,cs/animaRes/skillAnimas/moyun.plist,cs/animaRes/skillAnimas/moyun_Res.plist,
51,mozhua_plist,cs/animaRes/skillAnimas/mozhua.plist,cs/animaRes/skillAnimas/mozhua_Res.plist,
