主城id	据点id	据点名称	据点图标	守将等级	主将id	主将阶级	主将等级	副将1id	副将1阶级	副将1等级	副将2id	副将2阶级	副将2等级	小兵1ID	小兵2ID	小兵3ID	小兵等级	空行				
1	1	거점1	xx	60	32	17	182	38	17	182	33	17	182	1101	2101	3101	2					
1	2	거점2	xx	60	33	17	182	37	17	182	34	17	182	1101	2101	3101	3					
1	3	거점3	xx	60	34	17	182	36	17	182	35	17	182	1101	2101	3101	4					
1	4	거점4	xx	60	35	17	182	38	17	182	52	17	182	1101	2101	3101	5					
1	5	거점5	xx	60	52	17	182	34	17	182	37	17	182	1101	2101	3101	6					
1	6	거점6	xx	60	37	17	182	33	17	182	38	17	182	1101	2101	3101	7					
1	7	거점7	xx	60	38	17	182	32	17	182	39	17	182	1101	2101	3101	8					
1	8	거점8	xx	60	39	17	182	34	17	182	32	17	182	1101	2101	3101	9					
1	9	거점9	xx	60	32	17	182	38	17	182	54	17	182	1101	2101	3101	10					
1	10	거점10	xx	60	54	17	182	37	17	182	34	17	182	1102	2102	3102	1					
1	11	거점11	xx	60	34	17	182	36	17	182	35	17	182	1102	2102	3102	2					
1	12	거점12	xx	60	35	17	182	33	17	182	36	17	182	1102	2102	3102	3					
1	13	거점13	xx	60	36	17	182	34	17	182	37	17	182	1102	2102	3102	4					
1	14	거점14	xx	60	37	17	182	33	17	182	36	17	182	1102	2102	3102	5					
1	15	거점15	xx	60	80	17	182	32	17	182	54	17	182	1102	2102	3102	6					
2	1	거점1	xx	60	40	20	302	302	20	302	72	20	302	1102	2102	3102	7					
2	2	거점2	xx	60	41	20	302	72	20	302	71	20	302	1102	2102	3102	7					
2	3	거점3	xx	60	42	20	302	71	20	302	70	20	302	1102	2102	3102	8					
2	4	거점4	xx	60	43	20	302	70	20	302	69	20	302	1102	2102	3102	8					
2	5	거점5	xx	60	106	20	302	69	20	302	68	20	302	1102	2102	3102	9					
2	6	거점6	xx	60	45	20	302	68	20	302	67	20	302	1102	2102	3102	9					
2	7	거점7	xx	60	46	20	302	67	20	302	66	20	302	1102	2102	3102	10					
2	8	거점8	xx	60	47	20	302	66	20	302	65	20	302	1102	2102	3102	10					
2	9	거점9	xx	60	48	20	302	65	20	302	64	20	302	1102	2102	3102	11					
2	10	거점10	xx	60	97	20	302	64	20	302	63	20	302	1102	2102	3102	11					
2	11	거점11	xx	60	50	20	302	63	20	302	62	20	302	1102	2102	3102	12					
2	12	거점12	xx	60	51	20	302	62	20	302	61	20	302	1102	2102	3102	12					
2	13	거점13	xx	60	52	20	302	61	20	302	60	20	302	1102	2102	3102	13					
2	14	거점14	xx	60	53	20	302	60	20	302	59	20	302	1102	2102	3102	13					
2	15	거점15	xx	60	94	20	302	59	20	302	58	20	302	1102	2102	3102	14					
3	1	거점1	xx	60	55	17	182	58	17	182	57	17	182	1102	2102	3102	14					
3	2	거점2	xx	60	56	17	182	57	17	182	56	17	182	1102	2102	3102	15					
3	3	거점3	xx	60	57	17	182	56	17	182	55	17	182	1102	2102	3102	15					
3	4	거점4	xx	60	58	17	182	55	17	182	54	17	182	1102	2102	3102	16					
3	5	거점5	xx	60	93	17	182	54	17	182	53	17	182	1102	2102	3102	16					
3	6	거점6	xx	60	60	17	182	53	17	182	52	17	182	1102	2102	3102	17					
3	7	거점7	xx	60	61	17	182	52	17	182	51	17	182	1102	2102	3102	18					
3	8	거점8	xx	60	62	17	182	51	17	182	50	17	182	1102	2102	3102	19					
3	9	거점9	xx	60	63	17	182	50	17	182	49	17	182	1102	2102	3102	20					
3	10	거점10	xx	60	87	17	182	49	17	182	48	17	182	1102	2102	3102	20					
3	11	거점11	xx	60	65	17	182	48	17	182	47	17	182	1103	2103	3103	1					
3	12	거점12	xx	60	66	17	182	47	17	182	46	17	182	1103	2103	3103	2					
3	13	거점13	xx	60	67	17	182	46	17	182	45	17	182	1103	2103	3103	3					
3	14	거점14	xx	60	68	17	182	45	17	182	44	17	182	1103	2103	3103	4					
3	15	거점15	xx	60	86	17	182	44	17	182	43	17	182	1103	2103	3103	5					
4	1	거점1	xx	60	70	15	65	43	15	65	42	15	65	1103	2103	3103	6					
4	2	거점2	xx	60	71	15	65	42	15	65	41	15	65	1103	2103	3103	7					
4	3	거점3	xx	60	72	15	65	41	15	65	40	15	65	1103	2103	3103	9					
4	4	거점4	xx	60	73	15	65	40	15	65	41	15	65	1103	2103	3103	10					
4	5	거점5	xx	60	88	15	65	41	15	65	72	15	65	1103	2103	3103	11					
4	6	거점6	xx	60	85	15	65	90	15	65	92	15	65	1103	2103	3103	12					
4	7	거점7	xx	60	90	15	65	78	15	65	107	15	65	1103	2103	3103	13					
4	8	거점8	xx	60	79	15	65	74	15	65	83	15	65	1103	2103	3103	14					
4	9	거점9	xx	60	93	15	65	94	15	65	101	15	65	1103	2103	3103	15					
4	10	거점10	xx	60	120	15	65	76	15	65	78	15	65	1103	2103	3103	16					
4	11	거점11	xx	60	78	15	65	119	15	65	77	15	65	1103	2103	3103	17					
4	12	거점12	xx	60	76	15	65	119	15	65	118	15	65	1103	2103	3103	18					
4	13	거점13	xx	60	94	15	65	95	15	65	128	15	65	1103	2103	3103	19					
4	14	거점14	xx	60	95	15	65	115	15	65	121	15	65	1103	2103	3103	20					
4	15	거점15	xx	60	130	15	65	94	15	65	120	15	65	1103	2103	3103	21					
5	1	거점1	xx	60	62	15	65	51	15	65	50	15	65	1102	2102	3102	19					
5	2	거점2	xx	60	63	15	65	50	15	65	49	15	65	1102	2102	3102	20					
5	3	거점3	xx	60	87	15	65	49	15	65	48	15	65	1102	2102	3102	20					
5	4	거점4	xx	60	65	15	65	48	15	65	47	15	65	1103	2103	3103	1					
5	5	거점5	xx	60	66	15	65	47	15	65	46	15	65	1103	2103	3103	2					
5	6	거점6	xx	60	67	15	65	46	15	65	45	15	65	1103	2103	3103	3					
5	7	거점7	xx	60	68	15	65	45	15	65	44	15	65	1103	2103	3103	4					
5	8	거점8	xx	60	86	15	65	44	15	65	43	15	65	1103	2103	3103	5					
5	9	거점9	xx	60	70	15	65	43	15	65	42	15	65	1103	2103	3103	6					
5	10	거점10	xx	60	71	15	65	42	15	65	41	15	65	1103	2103	3103	7					
5	11	거점11	xx	60	72	15	65	41	15	65	40	15	65	1103	2103	3103	9					
5	12	거점12	xx	60	73	15	65	40	15	65	41	15	65	1103	2103	3103	10					
5	13	거점13	xx	60	88	15	65	41	15	65	72	15	65	1103	2103	3103	11					
5	14	거점14	xx	60	85	15	65	90	15	65	92	15	65	1103	2103	3103	12					
5	15	거점15	xx	60	90	15	65	78	15	65	107	15	65	1103	2103	3103	13					
6	1	거점1	xx	60	79	25	416	74	25	416	83	25	416	1103	2103	3103	14					
6	2	거점2	xx	60	93	25	416	94	25	416	101	25	416	1103	2103	3103	15					
6	3	거점3	xx	60	120	25	416	76	25	416	78	25	416	1103	2103	3103	16					
6	4	거점4	xx	60	78	25	416	119	25	416	77	25	416	1103	2103	3103	17					
6	5	거점5	xx	60	76	25	416	119	25	416	118	25	416	1103	2103	3103	18					
6	6	거점6	xx	60	94	25	416	95	25	416	128	25	416	1103	2103	3103	19					
6	7	거점7	xx	60	95	25	416	115	25	416	121	25	416	1103	2103	3103	20					
6	8	거점8	xx	60	130	25	416	94	25	416	120	25	416	1103	2103	3103	21					
6	9	거점9	xx	60	62	25	416	51	25	416	50	25	416	1102	2102	3102	19					
6	10	거점10	xx	60	63	25	416	50	25	416	49	25	416	1102	2102	3102	20					
6	11	거점11	xx	60	87	25	416	49	25	416	48	25	416	1102	2102	3102	20					
6	12	거점12	xx	60	65	25	416	48	25	416	47	25	416	1103	2103	3103	1					
6	13	거점13	xx	60	66	25	416	47	25	416	46	25	416	1103	2103	3103	2					
6	14	거점14	xx	60	67	25	416	46	25	416	45	25	416	1103	2103	3103	3					
6	15	거점15	xx	60	68	25	416	45	25	416	44	25	416	1103	2103	3103	4					
7	1	거점1	xx	60	86	15	65	44	15	65	43	15	65	1103	2103	3103	5					
7	2	거점2	xx	60	70	15	65	43	15	65	42	15	65	1103	2103	3103	6					
7	3	거점3	xx	60	71	15	65	42	15	65	41	15	65	1103	2103	3103	7					
7	4	거점4	xx	60	72	15	65	41	15	65	40	15	65	1103	2103	3103	9					
7	5	거점5	xx	60	73	15	65	40	15	65	41	15	65	1103	2103	3103	10					
7	6	거점6	xx	60	88	15	65	41	15	65	72	15	65	1103	2103	3103	11					
7	7	거점7	xx	60	85	15	65	90	15	65	92	15	65	1103	2103	3103	12					
7	8	거점8	xx	60	90	15	65	78	15	65	107	15	65	1103	2103	3103	13					
7	9	거점9	xx	60	79	15	65	74	15	65	83	15	65	1103	2103	3103	14					
7	10	거점10	xx	60	93	15	65	94	15	65	101	15	65	1103	2103	3103	15					
7	11	거점11	xx	60	120	15	65	76	15	65	78	15	65	1103	2103	3103	16					
