ID	名称	类型	初始攻击	初始生命	初始法术	初始法防	攻击成长	生命成长	法术成长	法防成长	攻击间隔(s)	移速	攻击距离	技能ID	视野范围	体积	优先兵种	选取规则	寻路规则	兵种克制	克制描述	克制数值	铜钱（制造）	武魂（制造）	资源ID	阶数	升阶指向ID	升阶道具1	升阶道具1消耗数	升阶道具2	升阶道具2消耗数	升阶道具3	升阶道具3消耗数	升阶道具4	升阶道具4消耗数	模型id	头像	卡片	空行
1101	단도병	1	58	1152	38	18	10	207	6	4	1.3	100	100	0	500	70	3	1	1	4	궁병+100%	1	0	0	Infantry1_plist	1	1102	6	20	7	20	8	20	28	20	1	avatar_infantry1.png	infantry1.png	
1102	도순병	1	224	4549	141	80	13	275	8	5	1.3	105	100	0	500	70	3	1	1	4	궁병+150%	1.5	0	0	Infantry2A_plist	2	1103	15	20	16	20	17	20	18	20	1	avatar_infantry2.png	infantry2.png	
1103	백모병	1	584	12134	361	221	19	393	11	7	1.3	110	100	0	500	70	3	1	1	4	궁병+200%	2	0	0	Infantry2B_plist	3	1104	15	30	16	30	17	30	18	30	1	avatar_infantry3.png	infantry3.png	
1104	청주병	1	1825	37391	1100	1064	28	620	16	40	1.3	110	100	0	500	70	3	1	1	4	궁병+250%	2.5	0	0	Infantry4_plist	4	1105	15	40	16	40	17	40	18	40	1	avatar_infantry4.png	infantry4.png	
1105	근위병	1	3725	78391	2250	4064	41	970	24	65	1.3	110	100	0	500	70	3	1	1	4	궁병+300%	3	0	0	Infantry5_plist	5	0	0	0	0	0	0	0	0	0	1	avatar_infantry5.png	infantry5.png	
2101	경기병	2	86	768	38	56	16	138	8	10	1.2	160	100	0	500	70	1	1	1	2	보병+100%	1	0	0	Cavalry1_plist	1	2102	9	20	10	20	11	20	29	20	1	avatar_cavalry1.png	cavalry1.png	
2102	돌기병	2	348	3030	182	220	22	184	10	14	1.2	165	100	0	500	70	1	1	1	2	보병+150%	1.5	0	0	Cavalry2A_plist	2	2103	23	20	24	20	25	20	26	20	1	avatar_cavalry2.png	cavalry2.png	
2103	호표기	2	942	8097	470	594	30	262	15	19	1.2	170	100	0	500	70	1	1	1	2	보병+200%	2	0	0	Cavalry2B_plist	3	2104	23	30	24	30	25	30	26	30	1	avatar_cavalry3.png	cavalry3.png	
2104	철기병	2	2812	25435	1555	1825	40	480	32	21	1.2	170	100	0	500	70	1	1	1	2	보병+250%	2.5	0	0	Cavalry4_plist	4	2105	23	40	24	40	25	40	26	40	1	avatar_cavalry4.png	cavalry4.png	
2105	친위대	2	5462	56935	3705	3575	60	760	58	46	1.2	170	100	0	500	70	1	1	1	2	보병+300%	3	0	0	Cavalry5_plist	5	0	0	0	0	0	0	0	0	0	1	avatar_cavalry5.png	cavalry5.png	
3101	단궁수	3	86	576	114	18	16	103	20	4	1.3	65	500	0	600	70	2	1	1	3	기병+100%	1	0	0	Archer1_plist	1	3102	12	20	13	20	14	20	27	20	1	avatar_archer1.png	archer1.png	
3102	장궁수	3	346	2269	445	80	24	157	30	6	1.3	70	500	0	600	70	2	1	1	3	기병+150%	1.5	0	0	Archer2A_plist	2	3103	19	20	20	20	21	20	22	20	1	avatar_archer2.png	archer2.png	
3103	원융노	3	954	6230	1205	232	30	196	38	8	1.3	75	500	0	600	70	2	1	1	3	기병+200%	2	0	0	Archer2B_plist	3	3104	19	30	20	30	21	30	22	30	1	avatar_archer3.png	archer3.png	
3104	정예궁	3	2974	19434	3787	824	52	370	62	19	1.3	75	500	0	600	70	2	1	1	3	기병+250%	2.5	0	0	Archer4_plist	4	3105	19	40	20	40	21	40	22	40	1	avatar_archer4.png	archer4.png	
3105	황궁병	3	6374	43734	7867	2174	78	530	89	37	1.3	75	500	0	600	70	2	1	1	3	기병+300%	3	0	0	Archer5_plist	5	0	0	0	0	0	0	0	0	0	1	avatar_archer5.png	archer5.png	
