等级	消耗金钱	材料数量	空行
1	10000	2	
2	15000	3	
3	20000	4	
4	25000	5	
5	30000	6	
6	35000	7	
7	40000	8	
8	45000	9	
9	50000	10	
10	55000	11	
11	60000	5	
12	70000	6	
13	80000	7	
14	90000	8	
15	100000	9	
16	110000	10	
17	120000	11	
18	130000	12	
19	140000	13	
20	150000	14	
21	160000	15	
22	170000	16	
23	180000	17	
24	190000	18	
25	200000	19	
26	210000	20	
27	220000	21	
28	230000	22	
29	240000	23	
30	250000	24	
31	260000	5	
32	270000	6	
33	280000	7	
34	290000	8	
35	300000	9	
36	310000	10	
37	320000	11	
38	330000	12	
39	340000	13	
40	350000	14	
41	360000	15	
42	370000	16	
43	380000	17	
44	390000	18	
45	400000	19	
46	410000	20	
47	420000	21	
48	430000	22	
49	440000	23	
50	450000	24	
51	460000	25	
52	470000	26	
53	480000	27	
54	490000	28	
55	500000	29	
56	510000	30	
57	520000	31	
58	530000	32	
59	540000	33	
60	550000	34	
61	560000	35	
62	570000	36	
63	580000	37	
64	590000	38	
65	600000	39	
66	610000	40	
67	620000	41	
68	630000	42	
69	640000	43	
70	650000	44	
71	660000	45	
72	670000	46	
73	680000	47	
74	690000	48	
75	700000	49	
76	710000	50	
77	720000	51	
78	730000	52	
79	740000	53	
80	750000	54	
81	750000	55	
82	750000	56	
83	750000	57	
84	750000	58	
85	750000	59	
86	750000	60	
87	750000	61	
88	750000	62	
89	750000	63	
90	750000	64	
91	750000	65	
92	750000	66	
93	750000	67	
94	750000	68	
95	750000	69	
96	750000	70	
97	750000	71	
98	750000	72	
99	750000	73	
100	750000	74	
101	750000	75	
102	750000	76	
103	750000	77	
104	750000	78	
105	750000	79	
106	750000	80	
107	750000	81	
108	750000	82	
109	750000	83	
110	750000	84	
111	750000	85	
112	750000	86	
113	750000	87	
114	750000	88	
115	750000	89	
116	750000	90	
117	750000	91	
118	750000	92	
119	750000	93	
120	750000	94	
121	750000	95	
122	750000	96	
123	750000	97	
124	750000	98	
125	750000	99	
126	750000	100	
127	750000	101	
128	750000	102	
129	750000	103	
130	750000	104	
131	750000	105	
132	750000	106	
133	750000	107	
134	750000	108	
135	750000	109	
136	750000	110	
137	750000	111	
138	750000	112	
139	750000	113	
140	750000	114	
141	750000	115	
142	750000	116	
143	750000	117	
144	750000	118	
145	750000	119	
146	750000	120	
147	750000	121	
148	750000	122	
149	750000	123	
150	750000	124	
151	750000	125	
152	750000	126	
153	750000	127	
154	750000	128	
155	750000	129	
156	750000	130	
157	750000	131	
158	750000	132	
159	750000	133	
160	750000	134	
161	750000	135	
162	750000	136	
163	750000	137	
164	750000	138	
165	750000	139	
166	750000	140	
167	750000	141	
168	750000	142	
169	750000	143	
170	750000	144	
171	750000	145	
172	750000	146	
173	750000	147	
174	750000	148	
175	750000	149	
176	750000	150	
177	750000	151	
178	750000	152	
179	750000	153	
180	750000	154	
