ID	名字	类型	品质	属性类型	属性值	随机属性概率1	随机属性概率2	随机属性概率3	随机属性概率4	随机属性概率5	随机属性概率6	随机属性概率7	随机属性概率8	空行								
37	정•쌍고검	1	40	1	194	0.3	0.4	0.2	0.1	0	0	0	0									
43	정•용린도	1	40	1	314	0.3	0.4	0.2	0.1	0	0	0	0									
49	정•황금극	1	40	1	248	0.3	0.4	0.2	0.1	0	0	0	0									
109	정•은린갑옷	2	40	2	2714	0.3	0.4	0.2	0.1	0	0	0	0									
115	정•용린투구	3	40	3	208	0.3	0.4	0.2	0.1	0	0	0	0									
121	정•창월목걸이	4	40	4	320	0.3	0.4	0.2	0.1	0	0	0	0									
38	정•쌍고검+1	1	41	1	218	0.3	0.4	0.2	0.1	0	0	0	0									
44	정•용린도+1	1	41	1	356	0.3	0.4	0.2	0.1	0	0	0	0									
50	정•황금극+1	1	41	1	280	0.3	0.4	0.2	0.1	0	0	0	0									
110	정•은린갑옷+1	2	41	2	3066	0.3	0.4	0.2	0.1	0	0	0	0									
116	정•용린투구+1	3	41	3	236	0.3	0.4	0.2	0.1	0	0	0	0									
122	정•창월목걸이+1	4	41	4	362	0.3	0.4	0.2	0.1	0	0	0	0									
39	정•쌍고검+2	1	42	1	248	0.3	0.4	0.2	0.1	0	0	0	0									
45	정•용린도+2	1	42	1	402	0.3	0.4	0.2	0.1	0	0	0	0									
51	정•황금극+2	1	42	1	316	0.3	0.4	0.2	0.1	0	0	0	0									
111	정•은린갑옷+2	2	42	2	3464	0.3	0.4	0.2	0.1	0	0	0	0									
117	정•용린투구+2	3	42	3	266	0.3	0.4	0.2	0.1	0	0	0	0									
123	정•창월목걸이+2	4	42	4	408	0.3	0.4	0.2	0.1	0	0	0	0									
40	정•쌍고검+3	1	43	1	280	0.3	0.4	0.2	0.1	0	0	0	0									
46	정•용린도+3	1	43	1	454	0.3	0.4	0.2	0.1	0	0	0	0									
52	정•황금극+3	1	43	1	358	0.3	0.4	0.2	0.1	0	0	0	0									
112	정•은린갑옷+3	2	43	2	3916	0.3	0.4	0.2	0.1	0	0	0	0									
118	정•용린투구+3	3	43	3	300	0.3	0.4	0.2	0.1	0	0	0	0									
124	정•창월목걸이+3	4	43	4	462	0.3	0.4	0.2	0.1	0	0	0	0									
41	정•쌍고검+4	1	44	1	316	0.3	0.4	0.2	0.1	0	0	0	0									
