ID	技能名字	技能描述	CD时间	技能片特效	技能片缩放比例	技能范围	技能基准点	阵营选择	半径	角度	高度	宽度	身后距离	值条件(条件)	百分比条件(条件)	几率(条件)	值(条件)	百分比(条件)	延迟时间	间隔时间	总时间	效果选择	作用属性	效果状态	百分比	基础伤害	基础秒数	技能伤害类型	延时类型	效果描述	技能声效	参数1	参数2	参数3	参数4	空行
100040	용명호소	무장의 공격과 마법이 40% 증가하며， 5초 간 지속됩니다.	20	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	1	0	0.4		6	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
101040	귀•용명호소	무장의 공격과 마법이 45% 증가하며， 5초 간 지속됩니다.	20	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	1	0	0.45		8	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
102040	성•용명호소	무장의 공격과 마법이 50% 증가하며， 5초 간 지속됩니다.	20	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	1	0	0.5		10	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
103040	황•용명호소	무장의 공격과 마법이 55% 증가하며， 5초 간 지속됩니다.	20	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	1	0	0.55		12	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
110040	용명호소	무장의 공격과 마법이 40% 증가하며， 5초 간 지속됩니다.	20			9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	4	0	0.4		6	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
111040	귀•용명호소	무장의 공격과 마법이 45% 증가하며， 5초 간 지속됩니다.	20			9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	4	0	0.45		8	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
112040	성•용명호소	무장의 공격과 마법이 50% 증가하며， 5초 간 지속됩니다.	20			9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	4	0	0.5		10	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
113040	황•용명호소	무장의 공격과 마법이 55% 증가하며， 5초 간 지속됩니다.	20			9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	4	0	0.55		12	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
100041	섭혼일식	생명이 가장 적은 적군 무장에게 200%의 공격 피해를 입힙니다.	13	Ani_duodaoguang		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2		6	3			sound/skilleffect/dao/dao1.wav					
101041	귀•섭혼일식	생명이 가장 적은 적군 무장에게 220%의 공격 피해를 입힙니다.	12	Ani_duodaoguang		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.2		8	3			sound/skilleffect/dao/dao1.wav					
102041	성•섭혼일식	생명이 가장 적은 적군 무장에게 240%의 공격 피해를 입힙니다.	11	Ani_duodaoguang		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.4		8	3			sound/skilleffect/dao/dao1.wav					
103041	황•섭혼일식	생명이 가장 적은 적군 무장에게 260%의 공격 피해를 입힙니다.	10	Ani_duodaoguang		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.6		10	3			sound/skilleffect/dao/dao1.wav					
100042	금사요일	무장의 현재 생명을 40% 소비하여 공격력을 120% 증가시킵니다. 지속시간은 무력에 따라 달라집니다.	20	gaoji_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	9	1	0	1.2		6	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
101042	귀•금사요일	무장의 현재 생명을 40% 소비하여 공격력을 130% 증가시킵니다. 지속시간은 무력에 따라 달라집니다.	20	gaoji_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	9	1	0	1.3		8	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
102042	성•금사요일	무장의 현재 생명을 40% 소비하여 공격력을 140% 증가시킵니다. 지속시간은 무력에 따라 달라집니다.	20	gaoji_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	9	1	0	1.4		10	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
103042	황•금사요일	무장의 현재 생명을 40% 소비하여 공격력을 150% 증가시킵니다. 지속시간은 무력에 따라 달라집니다.	20	gaoji_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	9	1	0	1.5		12	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
110042	금사요일	무장의 현재 생명을 40% 소비하여 공격력을 120% 증가시킵니다. 지속시간은 무력에 따라 달라집니다.	20			9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	-0.4		6	0		1	sound/skilleffect/zhenyi/zengyi.wav					
111042	귀•금사요일	무장의 현재 생명을 40% 소비하여 공격력을 130% 증가시킵니다. 지속시간은 무력에 따라 달라집니다.	20			9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	-0.4		8	0		1	sound/skilleffect/zhenyi/zengyi.wav					
112042	성•금사요일	무장의 현재 생명을 40% 소비하여 공격력을 140% 증가시킵니다. 지속시간은 무력에 따라 달라집니다.	20			9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	-0.4		10	0		1	sound/skilleffect/zhenyi/zengyi.wav					
113042	황•금사요일	무장의 현재 생명을 40% 소비하여 공격력을 150% 증가시킵니다. 지속시간은 무력에 따라 달라집니다.	20			9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	-0.4		12	0		1	sound/skilleffect/zhenyi/zengyi.wav					
300043	오채수경	무력이 가장 높은 아군 무장의 공격이 40% 증가하며， 지속시간은 지력에 따라 달라집니다.	20	huangguang_plist		12	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.4	0	7	0	3	1	sound/skilleffect/zhenyi/zengyi.wav					
301043	귀•오채수경	무력이 가장 높은 아군 무장의 공격이 50% 증가하며， 지속시간은 지력에 따라 달라집니다.	20	huangguang_plist		12	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.5	0	9	0	3	1	sound/skilleffect/zhenyi/zengyi.wav					
302043	성•오채수경	무력이 가장 높은 아군 무장의 공격이 60% 증가하며， 지속시간은 지력에 따라 달라집니다.	20	huangguang_plist		12	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.6	0	11	0	3	1	sound/skilleffect/zhenyi/zengyi.wav					
303043	황•오채수경	무력이 가장 높은 아군 무장의 공격이 70% 증가하며， 지속시간은 지력에 따라 달라집니다.	20	huangguang_plist		12	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.7	0	13	0	3	1	sound/skilleffect/zhenyi/zengyi.wav					
100044	음혈열인	무력이 가장 높은 적군을 공격하며， 쌍방 무력의 차이가 클 수록 더 큰 피해를 입힙니다.	13	Ani_Lightning		19	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		6	4			sound/skilleffect/dao/dao1.wav					
101044	귀•음혈열인	무력이 가장 높은 적군을 공격하며， 쌍방 무력의 차이가 클 수록 더 큰 피해를 입힙니다.	12	Ani_Lightning		19	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		8	4			sound/skilleffect/dao/dao1.wav					
102044	성•음혈열인	무력이 가장 높은 적군을 공격하며， 쌍방 무력의 차이가 클 수록 더 큰 피해를 입힙니다.	11	Ani_Lightning		19	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		8	4			sound/skilleffect/dao/dao1.wav					
103044	황•음혈열인	무력이 가장 높은 적군을 공격하며， 쌍방 무력의 차이가 클 수록 더 큰 피해를 입힙니다.	10	Ani_Lightning		19	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		10	4			sound/skilleffect/dao/dao1.wav					
200045	풍권뢰명	부채꼴범위 내에 있는 적군 전체에게 100%의 마법 피해를 입힙니다.	18	Ani_dian		2	1	2	500	100	0	0	50	0	0	1	0	0	1	0	0	6	0	0	1	0	0	2			sound/skilleffect/lei/lei1.wav					
201045	귀•풍권뢰명	부채꼴범위 내에 있는 적군 전체에게 110%의 마법 피해를 입힙니다.	17	Ani_dian		2	1	2	500	100	0	0	50	0	0	1	0	0	1	0	0	6	0	0	1.1	0	0	2			sound/skilleffect/lei/lei1.wav					
