ID	类型	数量	概率	名字	空行																	
1	2	1	35 	철검																		
4	2	1	35 	철도																		
7	2	1	35 	철극																		
73	2	1	35 	경피갑																		
76	2	1	35 	철투구																		
79	2	1	35 	진주목걸이																		
2	2	1	25 	철검+1																		
5	2	1	25 	철도+1																		
8	2	1	25 	철극+1																		
74	2	1	25 	경피갑+1																		
77	2	1	25 	철투구+1																		
80	2	1	25 	진주목걸이+1																		
3	2	1	20 	철검+2																		
6	2	1	20 	철도+2																		
9	2	1	20 	철극+2																		
75	2	1	20 	경피갑+2																		
78	2	1	20 	철투구+2																		
81	2	1	20 	진주목걸이+2																		
10	2	1	12 	정•철검																		
14	2	1	12 	정•철도																		
18	2	1	12 	정•철극																		
82	2	1	12 	정•경피갑																		
86	2	1	12 	정•철투구																		
90	2	1	12 	정•진주목걸이																		
11	2	1	10 	정•철검+1																		
15	2	1	10 	정•철도+1																		
19	2	1	10 	정•철극+1																		
83	2	1	10 	정•경피갑+1																		
87	2	1	10 	정•철투구+1																		
91	2	1	10 	정•진주목걸이+1																		
12	2	1	5 	정•철검+2																		
16	2	1	5 	정•철도+2																		
20	2	1	5 	정•철극+2																		
84	2	1	5 	정•경피갑+2																		
88	2	1	5 	정•철투구+2																		
92	2	1	5 	정•진주목걸이+2																		
13	2	1	3 	정•철검+3																		
17	2	1	3 	정•철도+3																		
21	2	1	3 	정•철극+3																		
85	2	1	3 	정•경피갑+3																		
89	2	1	3 	정•철투구+3																		
93	2	1	3 	정•진주목걸이+3																		
