主将id	主将阶级	主将等级	副将1id	副将1阶级	副将1等级	副将2id	副将2阶级	副将2等级	小兵1ID	小兵2ID	小兵3ID	小兵等级	空行
32	7	54	38	7	54	33	7	54	1101	2101	3101	2	
33	7	54	37	7	54	34	7	54	1101	2101	3101	3	
34	8	55	36	8	55	35	8	55	1101	2101	3101	4	
35	8	48	38	8	48	52	8	48	1101	2101	3101	5	
52	9	46	34	9	46	37	9	46	1101	2101	3101	6	
37	9	62	33	9	62	38	9	62	1101	2101	3101	7	
38	9	72	32	9	72	39	9	72	1101	2101	3101	8	
39	10	76	34	10	76	32	10	76	1101	2101	3101	9	
32	10	65	38	10	65	54	10	65	1101	2101	3101	10	
54	10	74	37	10	74	34	10	74	1102	2102	3102	1	
34	11	95	36	11	95	35	11	95	1102	2102	3102	2	
35	11	107	33	11	107	36	11	107	1102	2102	3102	3	
36	12	94	34	12	94	37	12	94	1102	2102	3102	4	
37	12	104	33	12	104	36	12	104	1102	2102	3102	5	
80	12	89	32	12	89	54	12	89	1102	2102	3102	6	
40	13	93	73	13	93	72	13	93	1102	2102	3102	7	
41	13	101	72	13	101	71	13	101	1102	2102	3102	7	
42	14	108	71	14	108	70	14	108	1102	2102	3102	8	
43	14	99	70	14	99	69	14	99	1102	2102	3102	8	
106	14	97	69	14	97	68	14	97	1102	2102	3102	9	
45	15	114	68	15	114	67	15	114	1102	2102	3102	9	
46	15	126	67	15	126	66	15	126	1102	2102	3102	10	
47	16	118	66	16	118	65	16	118	1102	2102	3102	10	
48	16	135	65	16	135	64	16	135	1102	2102	3102	11	
97	16	117	64	16	117	63	16	117	1102	2102	3102	11	
50	17	147	63	17	147	62	17	147	1102	2102	3102	12	
51	17	158	62	17	158	61	17	158	1102	2102	3102	12	
52	17	144	61	17	144	60	17	144	1102	2102	3102	13	
53	18	155	60	18	155	59	18	155	1102	2102	3102	13	
94	18	162	59	18	162	58	18	162	1102	2102	3102	14	
55	19	183	58	19	183	57	19	183	1102	2102	3102	14	
56	19	210	57	19	210	56	19	210	1102	2102	3102	15	
57	19	217	56	19	217	55	19	217	1102	2102	3102	15	
58	20	217	55	20	217	54	20	217	1102	2102	3102	16	
93	20	206	54	20	206	53	20	206	1102	2102	3102	16	
60	21	224	53	21	224	52	21	224	1102	2102	3102	17	
61	21	259	52	21	259	51	21	259	1102	2102	3102	18	
62	21	310	51	21	310	50	21	310	1102	2102	3102	19	
63	22	277	50	22	277	49	22	277	1102	2102	3102	20	
87	22	280	49	22	280	48	22	280	1102	2102	3102	20	
65	23	322	48	23	322	47	23	322	1103	2103	3103	1	
66	23	339	47	23	339	46	23	339	1103	2103	3103	2	
67	23	373	46	23	373	45	23	373	1103	2103	3103	3	
68	24	356	45	24	356	44	24	356	1103	2103	3103	4	
86	24	348	44	24	348	43	24	348	1103	2103	3103	5	
70	24	446	43	24	446	42	24	446	1103	2103	3103	6	
71	25	469	42	25	469	41	25	469	1103	2103	3103	7	
72	25	465	41	25	465	40	25	465	1103	2103	3103	9	
73	26	474	40	26	474	41	26	474	1103	2103	3103	10	
88	26	455	41	26	455	72	26	455	1103	2103	3103	11	
85	27	344	90	27	344	92	27	344	1103	2103	3103	12	
90	27	340	78	27	340	107	27	340	1103	2103	3103	13	
79	27	376	74	27	376	83	27	376	1103	2103	3103	14	
93	28	393	94	28	393	101	28	393	1103	2103	3103	15	
120	28	369	76	28	369	78	28	369	1103	2103	3103	16	
78	28	396	119	28	396	77	28	396	1103	2103	3103	17	
76	29	394	119	29	394	118	29	394	1103	2103	3103	18	
94	29	437	95	29	437	128	29	437	1103	2103	3103	19	
95	29	424	115	29	424	121	29	424	1103	2103	3103	20	
130	29	434	94	29	434	120	29	434	1103	2103	3103	21	
131	30	613	125	30	613	116	30	613	1103	2103	3103	22	
129	30	627	124	30	627	116	30	627	1103	2103	3103	23	
119	30	620	120	30	620	117	30	620	1103	2103	3103	24	
114	31	644	115	31	644	124	31	644	1103	2103	3103	25	
119	31	676	127	31	676	129	31	676	1103	2103	3103	26	
121	31	728	122	31	728	129	31	728	1103	2103	3103	27	
131	32	730	125	32	730	116	32	730	1103	2103	3103	28	
114	32	719	120	32	719	123	32	719	1103	2103	3103	29	
128	32	739	126	32	739	123	32	739	1103	2103	3103	30	
130	32	778	129	32	778	120	32	778	1103	2103	3103	30	
136	32	613	126	32	613	135	32	613	1103	2103	3103	32	
131	32	710	132	32	710	125	32	710	1103	2103	3103	34	
119	32	783	120	32	783	139	32	783	1103	2103	3103	36	
120	32	832	138	32	832	133	32	832	1103	2103	3103	38	
134	32	912	132	32	912	123	32	912	1103	2103	3103	40	
136	32	943	130	32	943	127	32	943	1103	2103	3103	42	
120	32	1166	132	32	1166	123	32	1166	1103	2103	3103	44	
128	32	1306	134	32	1306	122	32	1306	1103	2103	3103	46	
128	32	1455	122	32	1455	135	32	1455	1103	2103	3103	48	
120	32	1570	130	32	1570	123	32	1570	1103	2103	3103	50	
