难度	关卡	基础	额外	空行
1	1	{{-3,4,6000},{-6,4,30},}		
1	2	{{-3,4,6120},{-6,4,32},}		
1	3	{{-3,4,6300},{-6,4,34},}		
1	4	{{-3,4,6420},{-6,4,36},}		
1	5	{{-3,4,6600},{-6,4,38},}	{{44,4,5},}	
1	6	{{-3,4,6660},{-6,4,40},}		
1	7	{{-3,4,6720},{-6,4,42},}		
1	8	{{-3,4,6900},{-6,4,44},}		
1	9	{{-3,4,7020},{-6,4,46},}		
1	10	{{-3,4,7200},{-6,4,48},}	{{-3,4,80000},}	
1	11	{{-3,4,7260},{-6,4,50},}		
1	12	{{-3,4,7320},{-6,4,52},}		
1	13	{{-3,4,7500},{-6,4,54},}		
1	14	{{-3,4,7620},{-6,4,56},}		
1	15	{{-3,4,7800},{-6,4,58},}	{{40,4,3},}	
1	16	{{-3,4,7860},{-6,4,60},}		
1	17	{{-3,4,7920},{-6,4,62},}		
1	18	{{-3,4,8100},{-6,4,64},}		
1	19	{{-3,4,8220},{-6,4,66},}		
1	20	{{-3,4,8400},{-6,4,68},}	{{-3,4,110000},{51,4,1}}	
1	21	{{-3,4,8460},{-6,4,70},}		
1	22	{{-3,4,8520},{-6,4,72},}		
1	23	{{-3,4,8700},{-6,4,74},}		
1	24	{{-3,4,8820},{-6,4,76},}		
1	25	{{-3,4,9000},{-6,4,78},}	{{4,4,5},{51,4,1}}	
1	26	{{-3,4,9060},{-6,4,80},}		
1	27	{{-3,4,9120},{-6,4,82},}		
1	28	{{-3,4,9300},{-6,4,84},}		
1	29	{{-3,4,9420},{-6,4,86},}		
1	30	{{-3,4,9600},{-6,4,88},}	{{-3,4,150000},{51,4,1}}	
1	31	{{-3,4,9660},{-6,4,90},}		
1	32	{{-3,4,9720},{-6,4,92},}		
1	33	{{-3,4,9900},{-6,4,94},}		
1	34	{{-3,4,10020},{-6,4,96},}		
1	35	{{-3,4,10200},{-6,4,98},}	{{40,4,5},{51,4,1}}	
1	36	{{-3,4,10260},{-6,4,100},}		
1	37	{{-3,4,10320},{-6,4,102},}		
1	38	{{-3,4,10500},{-6,4,104},}		
1	39	{{-3,4,10620},{-6,4,106},}		
1	40	{{-3,4,10800},{-6,4,108},}	{{-3,4,200000},{51,4,1}}	
1	41	{{-3,4,10860},{-6,4,110},}		
1	42	{{-3,4,10920},{-6,4,112},}		
1	43	{{-3,4,11100},{-6,4,114},}		
1	44	{{-3,4,11220},{-6,4,116},}		
1	45	{{-3,4,11400},{-6,4,118},}	{{4,4,10},{51,4,1}}	
1	46	{{-3,4,11460},{-6,4,120},}		
1	47	{{-3,4,11520},{-6,4,122},}		
1	48	{{-3,4,11700},{-6,4,124},}		
1	49	{{-3,4,11820},{-6,4,126},}		
1	50	{{-3,4,12000},{-6,4,128},}	{{-3,4,300000},{51,4,1}}	
1	51	{{-3,4,12060},{-6,4,130},}		
1	52	{{-3,4,12120},{-6,4,132},}		
1	53	{{-3,4,12300},{-6,4,134},}		
1	54	{{-3,4,12420},{-6,4,136},}		
1	55	{{-3,4,12600},{-6,4,138},}	{{40,4,7},{51,4,1}}	
1	56	{{-3,4,12660},{-6,4,140},}		
1	57	{{-3,4,12720},{-6,4,142},}		
1	58	{{-3,4,12900},{-6,4,144},}		
1	59	{{-3,4,13020},{-6,4,146},}		
1	60	{{-3,4,13200},{-6,4,148},}	{{-3,4,450000},{51,4,1}}	
1	61	{{-3,4,13980},{-6,4,150},}		
1	62	{{-3,4,14160},{-6,4,152},}		
1	63	{{-3,4,14340},{-6,4,154},}		
1	64	{{-3,4,14520},{-6,4,156},}		
1	65	{{-3,4,14700},{-6,4,158},}	{{43,4,30},{51,4,2}}	
1	66	{{-3,4,14880},{-6,4,160},}		
1	67	{{-3,4,15060},{-6,4,162},}		
1	68	{{-3,4,15240},{-6,4,164},}		
1	69	{{-3,4,15420},{-6,4,166},}		
1	70	{{-3,4,15600},{-6,4,168},}	{{-3,4,500000},{51,4,2}}	
1	71	{{-3,4,15780},{-6,4,170},}		
1	72	{{-3,4,15960},{-6,4,172},}		
1	73	{{-3,4,16140},{-6,4,174},}		
1	74	{{-3,4,16320},{-6,4,176},}		
1	75	{{-3,4,16500},{-6,4,178},}	{{40,4,9},{51,4,2}}	
1	76	{{-3,4,16680},{-6,4,180},}		
1	77	{{-3,4,16860},{-6,4,182},}		
1	78	{{-3,4,17040},{-6,4,184},}		
1	79	{{-3,4,17220},{-6,4,186},}		
1	80	{{-3,4,17400},{-6,4,188},}	{{-3,4,550000},{51,4,2}}	
2	1	{{-3,4,7500},{-6,4,42},}		
2	2	{{-3,4,7650},{-6,4,45},}		
2	3	{{-3,4,7875},{-6,4,48},}		
2	4	{{-3,4,8025},{-6,4,51},}		
